Date,Open,High,Low,Close,Volume
21-Jul-17,52.59,52.63,52.44,52.56,8776042
20-Jul-17,52.69,52.72,52.50,52.63,5038583
19-Jul-17,52.69,52.76,52.57,52.65,5011055
18-Jul-17,52.02,52.28,51.94,52.23,4084270
17-Jul-17,52.14,52.15,51.98,52.05,5534743
14-Jul-17,52.01,52.34,51.99,52.29,6397822
13-Jul-17,51.49,51.69,51.47,51.67,4562928
12-Jul-17,51.20,51.54,51.18,51.47,8089067
11-Jul-17,50.38,50.56,50.23,50.51,4753914
10-Jul-17,49.87,50.17,49.83,50.11,4641497
7-Jul-17,49.75,49.85,49.53,49.73,8846993
6-Jul-17,49.89,49.91,49.55,49.56,12771679
5-Jul-17,49.99,50.18,49.74,50.16,8245523
3-Jul-17,50.29,50.40,50.17,50.26,3558422
30-Jun-17,50.07,50.21,49.98,50.04,8899271
29-Jun-17,50.15,50.16,49.43,49.75,11205079
28-Jun-17,50.14,50.41,50.02,50.35,5721368
27-Jun-17,50.28,50.40,49.97,49.97,7190919
26-Jun-17,50.55,50.67,50.40,50.53,9528130
23-Jun-17,49.95,50.19,49.90,50.12,5385715
22-Jun-17,49.87,50.05,49.75,49.86,5843376
21-Jun-17,49.76,49.86,49.57,49.67,7366171
20-Jun-17,49.86,49.91,49.47,49.48,7885332
19-Jun-17,50.22,50.46,50.16,50.40,6430331
16-Jun-17,49.96,50.00,49.70,49.95,8175337
15-Jun-17,49.75,49.86,49.56,49.83,9412346
14-Jun-17,50.71,50.76,50.21,50.39,7950198
13-Jun-17,50.38,50.43,50.22,50.39,6819175
12-Jun-17,50.14,50.17,49.91,50.13,5648059
9-Jun-17,50.84,50.88,50.16,50.40,9563811
8-Jun-17,50.82,50.84,50.60,50.78,5119307
7-Jun-17,50.43,50.56,50.22,50.45,7782413
6-Jun-17,50.46,50.63,50.42,50.53,7996787
5-Jun-17,50.54,50.65,50.48,50.53,4121505
2-Jun-17,50.47,50.58,50.36,50.55,5011350
1-Jun-17,50.05,50.30,49.93,50.28,8087919
31-May-17,50.11,50.14,49.81,49.84,7056521
30-May-17,50.19,50.29,50.13,50.26,8383835
26-May-17,50.37,50.48,50.33,50.44,4400713
25-May-17,50.33,50.44,50.19,50.28,6876313
24-May-17,49.90,50.13,49.84,50.06,11857265
23-May-17,49.86,49.92,49.74,49.86,5901516
22-May-17,49.88,50.00,49.81,49.90,7281496
19-May-17,49.51,49.94,49.50,49.84,9539027
18-May-17,48.53,49.24,48.26,48.84,16834945
17-May-17,50.05,50.11,49.61,49.64,13759275
16-May-17,50.37,50.49,50.30,50.47,4247480
15-May-17,50.19,50.42,50.17,50.40,6420599
12-May-17,49.84,49.97,49.80,49.95,5896195
11-May-17,49.70,49.82,49.48,49.75,7738405
10-May-17,49.46,49.65,49.42,49.65,7612980
9-May-17,49.17,49.50,49.15,49.36,10680786
8-May-17,49.01,49.07,48.81,48.86,8900716
5-May-17,48.43,48.86,48.38,48.86,7102207
4-May-17,48.75,48.79,48.43,48.49,10976511
3-May-17,49.05,49.11,48.83,48.90,5563434
2-May-17,49.15,49.32,49.10,49.23,6508523
1-May-17,48.89,49.07,48.80,48.93,7270902
28-Apr-17,48.68,48.76,48.54,48.70,4933043
27-Apr-17,48.75,48.75,48.48,48.60,4208638
26-Apr-17,48.76,48.88,48.61,48.63,9148061
25-Apr-17,48.77,48.95,48.72,48.85,7934050
