Date,Open,High,Low,Close,Volume
23-Aug-17,104.45,104.94,104.41,104.64,655534
22-Aug-17,104.27,104.98,104.27,104.87,414984
21-Aug-17,103.96,104.16,103.71,104.05,720831
18-Aug-17,104.04,104.65,103.77,103.97,568659
17-Aug-17,105.43,105.58,104.19,104.21,693730
16-Aug-17,105.93,106.12,105.62,105.78,605698
15-Aug-17,105.99,105.99,105.57,105.68,599937
14-Aug-17,105.48,105.98,105.45,105.72,468231
11-Aug-17,105.04,105.23,104.73,104.86,624622
10-Aug-17,105.96,105.96,105.01,105.02,509275
9-Aug-17,106.08,106.32,105.93,106.28,398936
8-Aug-17,106.51,107.17,106.27,106.44,453300
7-Aug-17,106.65,106.69,106.48,106.65,639092
4-Aug-17,106.75,106.81,106.56,106.66,522729
3-Aug-17,106.61,106.66,106.33,106.45,486650
2-Aug-17,106.54,106.65,106.29,106.63,471882
1-Aug-17,106.66,106.75,106.43,106.70,605143
31-Jul-17,-,106.63,-,106.42,948408
28-Jul-17,106.11,106.34,105.87,106.20,849259
27-Jul-17,106.26,106.34,105.83,106.34,862820
26-Jul-17,106.53,106.53,106.03,106.14,527517
25-Jul-17,106.29,106.61,106.16,106.36,431975
24-Jul-17,105.76,105.84,105.62,105.72,324552
21-Jul-17,105.79,105.87,105.49,105.85,479867
20-Jul-17,106.12,106.21,105.83,106.01,712757
19-Jul-17,105.63,105.97,105.48,105.97,536896
18-Jul-17,105.50,105.53,105.14,105.42,489999
17-Jul-17,105.68,105.90,105.56,105.66,529989
14-Jul-17,105.32,105.94,105.12,105.73,583259
13-Jul-17,105.33,105.50,105.14,105.45,468557
12-Jul-17,105.14,105.47,105.13,105.23,580128
11-Jul-17,104.88,104.90,104.24,104.72,495470
10-Jul-17,104.94,105.12,104.79,104.89,582171
7-Jul-17,104.83,105.10,104.59,105.05,630027
6-Jul-17,105.41,105.49,104.57,104.63,708357
5-Jul-17,105.94,105.94,105.29,105.58,1522009
3-Jul-17,105.43,106.26,105.43,105.80,614895
30-Jun-17,105.27,105.36,104.84,104.96,788732
29-Jun-17,105.59,105.81,104.30,104.83,868504
28-Jun-17,104.79,105.42,104.79,105.17,954605
27-Jun-17,104.83,105.08,104.34,104.34,491527
26-Jun-17,105.24,105.63,105.15,105.33,515567
23-Jun-17,105.10,105.24,104.80,104.96,489502
22-Jun-17,105.19,105.38,104.99,105.03,580116
21-Jun-17,105.75,105.75,104.95,105.14,449605
20-Jun-17,106.08,106.13,105.62,105.65,375499
19-Jun-17,106.10,106.41,105.96,106.34,501677
16-Jun-17,105.89,105.89,105.27,105.78,406334
15-Jun-17,105.49,105.86,105.41,105.83,427616
14-Jun-17,106.17,106.17,105.57,106.04,620944
13-Jun-17,106.04,106.15,105.77,106.12,655566
12-Jun-17,105.61,106.13,105.49,105.81,1169289
9-Jun-17,104.64,105.60,104.64,105.52,2046577
8-Jun-17,104.30,104.89,104.30,104.54,677856
7-Jun-17,104.28,104.42,103.99,104.28,413442
6-Jun-17,104.14,104.39,103.95,104.16,443828
5-Jun-17,104.45,104.64,104.38,104.42,307173
2-Jun-17,104.55,104.70,104.30,104.52,524346
1-Jun-17,103.78,104.63,103.63,104.60,1102675
31-May-17,103.88,103.88,103.26,103.59,559293
30-May-17,103.81,103.92,103.61,103.77,625236
26-May-17,103.93,104.06,103.86,103.98,353009
25-May-17,104.08,104.26,103.85,103.98,643897
24-May-17,103.90,103.90,103.55,103.84,457102
23-May-17,103.62,103.89,103.45,103.77,592555
22-May-17,103.29,103.51,103.10,103.41,499969
19-May-17,102.57,103.38,102.49,103.00,1659900
18-May-17,101.93,102.72,101.78,102.22,798991
17-May-17,103.07,103.23,102.11,102.14,1604985
16-May-17,104.28,104.34,103.83,103.94,2003457
15-May-17,103.86,104.31,103.81,104.17,383067
12-May-17,103.75,103.75,103.40,103.57,441160
11-May-17,104.00,104.09,103.43,103.93,693812
10-May-17,103.89,104.22,103.85,104.21,657558
9-May-17,104.42,104.46,103.81,103.99,619944
8-May-17,104.42,104.49,104.17,104.30,453425
5-May-17,104.14,104.42,103.99,104.42,559398
4-May-17,104.14,104.22,103.61,103.96,652152
3-May-17,103.74,104.06,103.60,103.95,542689
2-May-17,104.00,104.07,103.64,103.83,591193
1-May-17,104.12,104.24,103.76,103.94,876245
28-Apr-17,104.53,104.53,103.89,103.94,417406
27-Apr-17,104.66,104.66,104.06,104.38,533228
26-Apr-17,104.58,105.18,104.55,104.57,559784
25-Apr-17,104.39,104.77,104.30,104.59,747522
24-Apr-17,103.95,104.15,103.75,103.97,788795
21-Apr-17,103.22,103.26,102.65,102.83,695102
20-Apr-17,102.63,103.59,102.63,103.31,678542
19-Apr-17,103.08,103.29,102.37,102.52,596301
18-Apr-17,102.87,103.11,102.45,102.84,570376
17-Apr-17,102.58,103.28,102.41,103.24,745966
13-Apr-17,103.06,103.38,102.38,102.38,1545486
12-Apr-17,103.61,103.65,103.10,103.27,748969
11-Apr-17,103.55,103.71,102.92,103.71,2479960
10-Apr-17,103.81,104.21,103.51,103.79,683151
7-Apr-17,103.71,104.08,103.46,103.66,558512
6-Apr-17,103.58,104.16,103.27,103.83,1248652
5-Apr-17,104.31,104.82,103.38,103.46,1379980
4-Apr-17,103.57,103.87,103.37,103.87,550843
3-Apr-17,104.06,104.16,103.07,103.79,854520
31-Mar-17,104.32,104.42,104.00,104.04,722988
30-Mar-17,103.99,104.55,103.84,104.46,651392
29-Mar-17,103.85,104.16,103.61,103.92,802525
28-Mar-17,102.94,104.16,102.94,103.93,870924
