Date,Open,High,Low,Close,Volume
23-Aug-17,113.26,114.29,112.94,113.83,779794
22-Aug-17,113.24,113.91,113.14,113.81,874697
21-Aug-17,112.56,112.96,112.29,112.81,1400373
18-Aug-17,112.44,113.26,112.01,112.83,478826
17-Aug-17,114.51,115.10,112.85,112.85,682686
16-Aug-17,115.38,115.83,114.76,115.04,598501
15-Aug-17,116.28,116.28,114.96,115.01,506720
14-Aug-17,115.10,116.18,114.77,116.03,571731
11-Aug-17,114.75,114.93,113.96,114.31,698881
10-Aug-17,116.09,116.23,114.78,114.82,951531
9-Aug-17,117.01,117.15,116.21,116.59,464255
8-Aug-17,117.92,119.22,117.53,117.77,488191
7-Aug-17,118.44,118.51,117.59,118.06,485230
4-Aug-17,117.83,118.37,117.67,118.26,474807
3-Aug-17,118.47,118.47,117.19,117.50,557883
2-Aug-17,119.34,119.38,117.97,118.30,533908
1-Aug-17,119.53,119.67,118.72,119.39,568897
31-Jul-17,-,-,-,119.10,909019
28-Jul-17,119.39,119.75,118.84,119.26,447366
27-Jul-17,120.07,120.33,119.08,119.64,531015
26-Jul-17,120.87,121.00,119.67,119.80,656502
25-Jul-17,120.23,121.10,119.89,120.90,965633
24-Jul-17,119.28,119.41,118.88,119.40,330370
21-Jul-17,120.36,120.36,119.25,119.47,389891
20-Jul-17,120.22,120.46,119.80,120.10,365280
19-Jul-17,119.09,120.13,119.03,120.13,255527
18-Jul-17,118.91,119.05,118.35,118.87,253173
17-Jul-17,118.82,119.65,118.42,119.29,417923
14-Jul-17,118.43,119.33,118.43,118.84,292882
13-Jul-17,118.49,118.83,117.88,118.80,550395
12-Jul-17,118.38,119.33,118.14,118.51,589712
11-Jul-17,117.60,117.78,116.58,117.72,473410
10-Jul-17,117.84,118.62,117.45,117.65,445191
7-Jul-17,117.56,118.41,117.20,118.26,1738797
6-Jul-17,118.37,118.76,117.20,117.46,1126424
5-Jul-17,120.14,120.19,118.86,119.63,1837661
3-Jul-17,119.37,120.93,119.24,120.50,546231
30-Jun-17,119.47,119.70,118.75,118.87,458035
29-Jun-17,119.66,119.91,118.07,119.31,1050047
28-Jun-17,118.52,119.84,118.42,119.46,1022900
27-Jun-17,118.42,119.06,117.76,117.84,665208
26-Jun-17,118.07,118.68,117.52,118.26,434234
23-Jun-17,117.30,117.97,116.90,117.77,850082
22-Jun-17,116.90,117.56,116.42,117.19,1799196
21-Jun-17,118.13,118.40,116.77,116.90,949468
20-Jun-17,119.02,119.08,117.78,117.91,1011012
19-Jun-17,119.22,119.68,118.87,119.31,452692
16-Jun-17,118.98,118.98,118.17,118.95,502348
15-Jun-17,118.65,119.99,118.41,119.36,703992
14-Jun-17,120.67,120.67,119.12,119.90,937774
13-Jun-17,120.47,121.07,120.08,120.74,861369
12-Jun-17,120.40,121.35,119.80,120.28,973356
9-Jun-17,119.05,120.99,119.05,120.35,1139788
8-Jun-17,116.85,119.48,116.53,118.71,1279899
7-Jun-17,116.78,117.26,116.35,116.83,1051837
6-Jun-17,116.13,117.30,115.79,116.62,642950
5-Jun-17,117.49,117.72,116.84,116.89,616520
2-Jun-17,117.27,118.75,117.03,117.52,862979
1-Jun-17,115.22,117.14,114.75,117.13,1203238
31-May-17,115.44,115.59,113.52,114.97,2690027
30-May-17,115.78,115.98,114.93,115.25,841855
26-May-17,116.07,116.44,115.54,116.22,531887
25-May-17,116.85,117.29,115.85,116.29,610141
24-May-17,116.72,117.09,115.81,116.36,914528
