Date,Open,High,Low,Close,Volume
23-Aug-17,82.12,82.68,82.12,82.47,173159
22-Aug-17,82.05,82.56,82.05,82.47,191022
21-Aug-17,81.76,82.00,81.59,81.89,226473
18-Aug-17,81.73,82.22,81.56,81.79,283245
17-Aug-17,83.00,83.27,81.97,81.97,266198
16-Aug-17,83.31,83.56,83.19,83.26,227821
15-Aug-17,83.36,83.36,82.99,83.06,222014
14-Aug-17,83.06,83.58,82.78,83.29,203310
11-Aug-17,82.60,82.81,82.43,82.59,312934
10-Aug-17,83.53,83.59,82.69,82.71,325120
9-Aug-17,83.89,84.02,83.54,83.79,284033
8-Aug-17,84.27,84.80,84.04,84.20,431451
7-Aug-17,84.40,84.51,84.18,84.33,192922
4-Aug-17,84.37,84.51,84.21,84.38,335009
3-Aug-17,84.45,84.49,84.13,84.23,227567
2-Aug-17,84.68,84.77,84.23,84.49,293465
1-Aug-17,84.95,85.02,84.55,84.83,447678
31-Jul-17,-,84.89,-,84.75,292917
28-Jul-17,84.71,84.84,84.47,84.73,193891
27-Jul-17,84.98,85.02,84.53,84.91,168114
26-Jul-17,85.36,85.37,84.95,85.03,196935
25-Jul-17,85.37,85.51,85.04,85.31,258546
24-Jul-17,84.84,85.08,84.70,84.79,435538
21-Jul-17,84.71,84.88,84.57,84.85,225034
20-Jul-17,85.11,85.18,84.72,84.86,500981
19-Jul-17,84.48,85.01,84.43,85.01,174443
18-Jul-17,84.50,84.50,84.20,84.37,218091
17-Jul-17,84.39,84.79,84.22,84.62,345516
14-Jul-17,84.01,84.54,83.86,84.37,209135
13-Jul-17,83.78,84.06,83.68,84.02,316070
12-Jul-17,83.66,84.00,83.60,83.73,213288
11-Jul-17,83.20,83.30,82.80,83.16,215750
10-Jul-17,83.18,83.47,83.00,83.18,563166
7-Jul-17,82.91,83.35,82.74,83.28,1054772
6-Jul-17,83.57,83.74,82.75,82.84,365082
5-Jul-17,84.66,84.66,84.13,84.29,694936
3-Jul-17,84.44,84.95,84.43,84.75,255630
30-Jun-17,84.14,84.39,83.89,84.09,639378
29-Jun-17,84.55,84.69,83.42,83.89,746477
28-Jun-17,83.99,84.58,83.99,84.32,451524
27-Jun-17,84.09,84.38,83.66,83.69,342272
26-Jun-17,83.89,84.30,83.89,84.12,162900
