Date,Open,High,Low,Close,Volume
21-Jul-17,59.65,59.74,59.56,59.72,301463
20-Jul-17,59.85,59.88,59.64,59.78,582247
19-Jul-17,59.51,59.76,59.47,59.75,342208
18-Jul-17,59.31,59.41,59.15,59.40,313271
17-Jul-17,59.36,59.48,59.31,59.39,258877
14-Jul-17,59.14,59.48,59.08,59.37,831094
13-Jul-17,59.03,59.14,58.93,59.10,387680
12-Jul-17,58.87,59.05,58.86,59.00,576004
11-Jul-17,58.58,58.65,58.25,58.59,294754
10-Jul-17,58.51,58.69,58.44,58.57,393454
7-Jul-17,58.30,58.59,58.26,58.56,345337
6-Jul-17,58.51,58.54,58.11,58.15,553410
5-Jul-17,58.69,58.77,58.48,58.70,353635
3-Jul-17,58.74,58.90,58.66,58.68,230014
30-Jun-17,58.65,58.72,58.44,58.46,561287
29-Jun-17,58.94,58.98,58.06,58.43,632824
28-Jun-17,58.60,58.96,58.57,58.89,295435
27-Jun-17,58.73,58.87,58.35,58.35,403172
26-Jun-17,58.99,59.09,58.73,58.84,634425
23-Jun-17,58.71,58.85,58.58,58.80,324332
22-Jun-17,58.67,58.82,58.59,58.67,521188
21-Jun-17,58.81,58.86,58.56,58.67,702552
20-Jun-17,59.04,59.04,58.69,58.71,299740
19-Jun-17,58.89,59.13,58.85,59.12,314875
16-Jun-17,58.98,58.98,58.65,58.91,370217
15-Jun-17,58.66,58.93,58.59,58.89,345560
14-Jun-17,59.24,59.24,58.82,59.06,280044
13-Jun-17,58.99,59.17,58.90,59.15,776179
12-Jun-17,58.80,58.88,58.61,58.84,334519
9-Jun-17,58.98,59.25,58.52,58.86,374519
8-Jun-17,58.86,59.02,58.73,58.93,293639
7-Jun-17,58.79,58.89,58.63,58.80,201063
6-Jun-17,58.79,58.91,58.67,58.75,364768
5-Jun-17,58.97,59.02,58.88,58.90,330465
2-Jun-17,58.82,59.06,58.73,59.00,272965
1-Jun-17,58.37,58.78,58.30,58.76,504263
31-May-17,58.37,58.37,57.99,58.26,646583
30-May-17,58.30,58.34,58.18,58.26,349150
26-May-17,58.34,58.38,58.27,58.37,318724
25-May-17,58.27,58.43,58.20,58.35,364590
