Date,Open,High,Low,Close,Volume
23-Aug-17,110.37,110.38,110.36,110.38,315456
22-Aug-17,110.39,110.39,110.35,110.36,480086
21-Aug-17,110.38,110.39,110.37,110.38,229094
18-Aug-17,110.36,110.38,110.36,110.38,602196
17-Aug-17,110.37,110.38,110.35,110.36,771311
16-Aug-17,110.35,110.37,110.34,110.37,573354
15-Aug-17,110.35,110.35,110.33,110.35,318135
14-Aug-17,110.33,110.35,110.31,110.34,289875
11-Aug-17,110.31,110.33,110.31,110.33,578369
10-Aug-17,110.31,110.32,110.30,110.31,660558
9-Aug-17,110.33,110.34,110.29,110.30,1210761
8-Aug-17,110.34,110.34,110.31,110.34,886072
7-Aug-17,110.33,110.33,110.31,110.32,367680
4-Aug-17,110.33,110.33,110.30,110.32,268502
3-Aug-17,110.30,110.33,110.30,110.33,549985
1-Aug-17,110.30,110.32,110.29,110.30,452502
31-Jul-17,-,110.38,-,110.38,1189332
28-Jul-17,110.33,110.37,110.33,110.36,755716
27-Jul-17,110.33,110.37,110.32,110.34,863267
26-Jul-17,110.31,110.34,110.30,110.34,651641
25-Jul-17,110.34,110.34,110.29,110.29,1317587
24-Jul-17,110.33,110.35,110.32,110.34,476772
21-Jul-17,110.35,110.35,110.32,110.33,538165
20-Jul-17,110.35,110.35,110.32,110.34,676030
19-Jul-17,110.33,110.34,110.32,110.33,1220693
18-Jul-17,110.33,110.35,110.32,110.33,1376755
17-Jul-17,110.33,110.34,110.32,110.34,763598
14-Jul-17,110.31,110.34,110.31,110.34,1046028
13-Jul-17,110.32,110.32,110.30,110.31,880527
12-Jul-17,110.31,110.32,110.29,110.32,2168033
11-Jul-17,110.30,110.32,110.29,110.31,2431070
10-Jul-17,110.28,110.30,110.28,110.29,283513
7-Jul-17,110.29,110.29,110.28,110.28,505634
6-Jul-17,110.27,110.29,110.26,110.29,770005
5-Jul-17,110.24,110.28,110.24,110.26,630609
3-Jul-17,110.26,110.27,110.24,110.26,765153
30-Jun-17,110.31,110.33,110.31,110.33,465912
29-Jun-17,110.30,110.32,110.29,110.32,677313
28-Jun-17,110.29,110.31,110.29,110.31,387697
27-Jun-17,110.31,110.31,110.29,110.30,502036
26-Jun-17,110.31,110.33,110.30,110.30,1421248
23-Jun-17,110.32,110.33,110.31,110.32,323886
22-Jun-17,110.29,110.32,110.28,110.31,1299983
21-Jun-17,110.29,110.30,110.29,110.29,674111
20-Jun-17,110.30,110.30,110.28,110.29,642795
19-Jun-17,110.28,110.30,110.27,110.29,544976
16-Jun-17,110.28,110.30,110.28,110.29,1131640
15-Jun-17,110.29,110.29,110.26,110.28,1182696
14-Jun-17,110.27,110.33,110.27,110.28,1330481
13-Jun-17,110.25,110.29,110.24,110.28,1504215
12-Jun-17,110.24,110.26,110.24,110.24,379387
9-Jun-17,110.25,110.26,110.24,110.25,367524
8-Jun-17,110.25,110.26,110.25,110.26,368185
7-Jun-17,110.26,110.26,110.24,110.26,424309
6-Jun-17,110.27,110.28,110.24,110.25,683157
5-Jun-17,110.27,110.27,110.25,110.26,292321
2-Jun-17,110.25,110.27,110.25,110.27,737056
1-Jun-17,110.24,110.27,110.24,110.25,278406
31-May-17,110.31,110.32,110.29,110.30,1093721
30-May-17,110.31,110.32,110.28,110.29,685451
26-May-17,110.30,110.31,110.29,110.30,708125
25-May-17,110.30,110.31,110.28,110.30,2031082
24-May-17,110.29,110.31,110.27,110.30,875188
23-May-17,110.30,110.31,110.29,110.29,469446
22-May-17,110.30,110.31,110.28,110.30,894453
19-May-17,110.29,110.31,110.29,110.30,419614
18-May-17,110.29,110.32,110.27,110.29,2201960
17-May-17,110.30,110.31,110.28,110.30,844247
16-May-17,110.28,110.29,110.27,110.27,281697
15-May-17,110.28,110.29,110.26,110.27,507331
12-May-17,110.26,110.28,110.26,110.26,224359
11-May-17,110.24,110.27,110.23,110.26,523864
10-May-17,110.24,110.26,110.23,110.23,529822
9-May-17,110.24,110.25,110.23,110.24,380746
8-May-17,110.26,110.26,110.24,110.24,434459
5-May-17,110.24,110.28,110.24,110.24,684538
4-May-17,110.24,110.26,110.23,110.23,473972
3-May-17,110.26,110.28,110.22,110.22,530226
2-May-17,110.25,110.27,110.24,110.24,349772
1-May-17,110.29,110.29,110.25,110.25,196530
28-Apr-17,110.32,110.32,110.29,110.29,286737
27-Apr-17,110.29,110.32,110.29,110.30,602664
26-Apr-17,110.29,110.30,110.29,110.29,1329257
25-Apr-17,110.29,110.31,110.28,110.30,681343
24-Apr-17,110.29,110.31,110.29,110.31,989782
21-Apr-17,110.28,110.31,110.28,110.29,366664
20-Apr-17,110.28,110.30,110.28,110.28,355737
19-Apr-17,110.28,110.30,110.28,110.30,627671
18-Apr-17,110.29,110.30,110.28,110.28,437583
17-Apr-17,110.30,110.31,110.28,110.28,319193
13-Apr-17,110.28,110.30,110.28,110.30,162436
12-Apr-17,110.29,110.29,110.27,110.28,230872
11-Apr-17,110.27,110.29,110.27,110.27,394814
10-Apr-17,110.25,110.28,110.25,110.27,409710
7-Apr-17,110.29,110.29,110.25,110.25,938602
6-Apr-17,110.27,110.28,110.26,110.26,380845
5-Apr-17,110.26,110.28,110.23,110.23,820497
4-Apr-17,110.27,110.29,110.26,110.26,414642
3-Apr-17,110.27,110.29,110.26,110.27,686746
31-Mar-17,110.33,110.34,110.31,110.34,451688
30-Mar-17,110.29,110.32,110.28,110.32,794110
29-Mar-17,110.30,110.31,110.28,110.31,536267
28-Mar-17,110.28,110.30,110.28,110.28,429184
27-Mar-17,110.28,110.31,110.27,110.27,627509
24-Mar-17,110.29,110.31,110.28,110.28,891053
23-Mar-17,110.30,110.31,110.29,110.29,504381
22-Mar-17,110.31,110.31,110.29,110.29,780034
21-Mar-17,110.27,110.30,110.27,110.29,573473
20-Mar-17,110.28,110.29,110.27,110.29,176661
17-Mar-17,110.30,110.30,110.27,110.28,1848394
16-Mar-17,110.28,110.29,110.25,110.28,556471
15-Mar-17,110.26,110.30,110.24,110.29,1061846
14-Mar-17,110.25,110.26,110.25,110.25,285262
13-Mar-17,110.27,110.27,110.24,110.25,995597
10-Mar-17,110.25,110.28,110.24,110.28,1424902
9-Mar-17,110.23,110.26,110.23,110.24,686939
8-Mar-17,110.24,110.26,110.23,110.23,764245
7-Mar-17,110.29,110.29,110.25,110.27,442667
6-Mar-17,110.26,110.29,110.26,110.27,343071
3-Mar-17,110.28,110.30,110.26,110.29,2055185
2-Mar-17,110.28,110.29,110.26,110.27,337474
1-Mar-17,110.30,110.31,110.28,110.28,725130
28-Feb-17,110.38,110.39,110.36,110.37,508896
27-Feb-17,110.40,110.40,110.37,110.38,431069
24-Feb-17,110.40,110.40,110.37,110.39,1247501
23-Feb-17,110.37,110.38,110.36,110.36,714358
22-Feb-17,110.36,110.38,110.35,110.36,681403
21-Feb-17,110.36,110.38,110.35,110.37,840586
17-Feb-17,110.35,110.37,110.35,110.36,364618
16-Feb-17,110.34,110.36,110.34,110.34,380270
15-Feb-17,110.33,110.36,110.33,110.35,391776
14-Feb-17,110.34,110.36,110.33,110.33,453880
13-Feb-17,110.35,110.37,110.33,110.36,881638
10-Feb-17,110.34,110.37,110.34,110.36,478436
9-Feb-17,110.36,110.37,110.33,110.34,639253
8-Feb-17,110.36,110.37,110.35,110.37,431557
7-Feb-17,110.36,110.36,110.34,110.35,364171
6-Feb-17,110.34,110.36,110.34,110.36,309205
3-Feb-17,110.32,110.36,110.32,110.34,721618
2-Feb-17,110.33,110.36,110.32,110.32,679663
1-Feb-17,110.31,110.36,110.31,110.33,529316
31-Jan-17,110.39,110.39,110.36,110.36,958448
30-Jan-17,110.36,110.39,110.36,110.37,502445
27-Jan-17,110.36,110.39,110.36,110.36,815795
26-Jan-17,110.36,110.38,110.36,110.38,1167418
25-Jan-17,110.36,110.37,110.35,110.35,1515760
24-Jan-17,110.38,110.38,110.35,110.36,733130
23-Jan-17,110.35,110.38,110.35,110.38,352693
20-Jan-17,110.38,110.38,110.35,110.37,1248830
19-Jan-17,110.35,110.38,110.35,110.37,616811
18-Jan-17,110.35,110.36,110.34,110.36,652391
17-Jan-17,110.35,110.37,110.34,110.35,959928
13-Jan-17,110.34,110.36,110.34,110.36,1003144
12-Jan-17,110.34,110.36,110.34,110.36,712688
11-Jan-17,110.35,110.36,110.34,110.35,1003411
10-Jan-17,110.32,110.36,110.32,110.35,639705
9-Jan-17,110.33,110.36,110.32,110.36,644664
6-Jan-17,110.30,110.34,110.29,110.34,503677
5-Jan-17,110.31,110.35,110.30,110.31,800841
4-Jan-17,110.30,110.32,110.29,110.32,759943
3-Jan-17,110.29,110.33,110.28,110.33,701467
30-Dec-16,110.31,110.32,110.28,110.30,364190
29-Dec-16,110.29,110.32,110.28,110.31,508137
28-Dec-16,110.29,110.29,110.28,110.29,403598
27-Dec-16,110.30,110.30,110.27,110.30,817035
23-Dec-16,110.30,110.31,110.28,110.30,746910
22-Dec-16,110.32,110.32,110.28,110.30,756898
21-Dec-16,110.37,110.39,110.34,110.39,442050
20-Dec-16,110.37,110.38,110.34,110.38,479979
19-Dec-16,110.42,110.42,110.33,110.38,495821
16-Dec-16,110.34,110.36,110.32,110.36,482950
15-Dec-16,110.33,110.33,110.30,110.33,491175
14-Dec-16,110.32,110.34,110.30,110.30,643837
13-Dec-16,110.31,110.33,110.31,110.31,626037
12-Dec-16,110.31,110.34,110.31,110.31,448524
9-Dec-16,110.33,110.35,110.31,110.31,1218287
8-Dec-16,110.32,110.35,110.30,110.30,461979
7-Dec-16,110.33,110.35,110.30,110.30,918662
6-Dec-16,110.32,110.35,110.32,110.35,690286
5-Dec-16,110.35,110.35,110.31,110.31,838331
2-Dec-16,110.35,110.36,110.32,110.35,654892
1-Dec-16,110.35,110.35,110.31,110.31,828047
30-Nov-16,110.37,110.38,110.33,110.33,1651063
29-Nov-16,110.39,110.39,110.35,110.36,584973
28-Nov-16,110.34,110.38,110.34,110.37,841691
25-Nov-16,110.33,110.37,110.33,110.37,364927
23-Nov-16,110.36,110.37,110.33,110.33,833151
22-Nov-16,110.34,110.36,110.33,110.33,1192427
21-Nov-16,110.34,110.36,110.34,110.35,378351
18-Nov-16,110.33,110.36,110.33,110.34,902409
17-Nov-16,110.33,110.36,110.33,110.36,913080
16-Nov-16,110.32,110.34,110.32,110.34,591963
15-Nov-16,110.34,110.35,110.32,110.33,602512
14-Nov-16,110.36,110.36,110.31,110.33,3575706
11-Nov-16,110.34,110.37,110.33,110.33,821201
10-Nov-16,110.37,110.37,110.32,110.32,1329013
9-Nov-16,110.39,110.39,110.35,110.39,1555077
8-Nov-16,110.36,110.39,110.35,110.39,683930
7-Nov-16,110.40,110.40,110.37,110.37,835718
4-Nov-16,110.40,110.41,110.38,110.41,621619
3-Nov-16,110.38,110.40,110.37,110.40,678271
2-Nov-16,110.37,110.40,110.37,110.38,264612
1-Nov-16,110.38,110.40,110.37,110.40,945599
31-Oct-16,110.42,110.44,110.40,110.44,560330
28-Oct-16,110.38,110.41,110.38,110.41,699136
27-Oct-16,110.41,110.41,110.39,110.39,272414
26-Oct-16,110.39,110.41,110.39,110.41,333748
25-Oct-16,110.41,110.41,110.39,110.41,520115
24-Oct-16,110.41,110.41,110.39,110.41,654285
21-Oct-16,110.39,110.41,110.39,110.40,308025
20-Oct-16,110.39,110.42,110.38,110.38,871833
19-Oct-16,110.40,110.41,110.39,110.41,447598
18-Oct-16,110.39,110.40,110.39,110.39,584641
17-Oct-16,110.38,110.40,110.38,110.40,312239
14-Oct-16,110.37,110.41,110.37,110.40,317668
13-Oct-16,110.42,110.42,110.37,110.40,420415
12-Oct-16,110.41,110.41,110.37,110.37,278010
11-Oct-16,110.35,110.39,110.35,110.39,568955
10-Oct-16,110.36,110.39,110.36,110.36,527245
