Date,Open,High,Low,Close,Volume
21-Jul-17,49.04,49.11,49.03,49.10,141998
20-Jul-17,48.97,49.05,48.97,49.03,334604
19-Jul-17,48.89,48.99,48.89,48.97,127181
18-Jul-17,48.84,48.92,48.80,48.90,133990
17-Jul-17,48.75,48.80,48.75,48.75,213015
14-Jul-17,48.74,48.76,48.69,48.70,170037
13-Jul-17,48.65,48.65,48.58,48.59,161870
12-Jul-17,48.62,48.65,48.60,48.63,178595
11-Jul-17,48.55,48.56,48.52,48.54,149343
10-Jul-17,48.53,48.62,48.52,48.58,242470
7-Jul-17,48.51,48.57,48.42,48.52,430604
6-Jul-17,48.32,48.59,48.32,48.57,147917
5-Jul-17,48.61,48.67,48.55,48.58,193172
3-Jul-17,48.59,48.67,48.52,48.56,258259
30-Jun-17,48.71,48.73,48.66,48.69,347044
29-Jun-17,48.84,48.84,48.69,48.70,384762
28-Jun-17,48.95,48.96,48.90,48.90,491121
27-Jun-17,49.03,49.04,48.95,48.95,192777
26-Jun-17,49.08,49.12,49.05,49.05,184405
23-Jun-17,49.03,49.07,49.03,49.05,158027
22-Jun-17,49.07,49.08,49.04,49.06,177690
21-Jun-17,49.02,49.08,49.01,49.08,464915
20-Jun-17,49.02,49.09,49.02,49.06,591227
19-Jun-17,49.03,49.04,48.99,49.01,204829
16-Jun-17,49.06,49.06,48.99,49.02,218397
15-Jun-17,49.04,49.07,48.98,49.03,313648
14-Jun-17,49.06,49.08,49.02,49.03,204162
13-Jun-17,48.94,49.02,48.94,48.96,133385
12-Jun-17,49.01,49.03,48.97,48.97,217016
9-Jun-17,49.07,49.08,48.98,49.02,208637
8-Jun-17,49.15,49.15,49.03,49.04,287281
7-Jun-17,49.17,49.17,49.11,49.13,219017
6-Jun-17,49.15,49.16,49.11,49.13,178024
5-Jun-17,49.06,49.09,49.04,49.07,243295
2-Jun-17,48.97,49.05,48.97,49.01,259348
1-Jun-17,48.86,48.95,48.86,48.90,181120
31-May-17,48.96,49.05,48.93,49.01,348321
30-May-17,48.86,48.92,48.86,48.90,231218
26-May-17,48.82,48.85,48.77,48.83,328242
25-May-17,48.77,48.83,48.77,48.81,446879
24-May-17,48.81,48.82,48.72,48.80,159467
23-May-17,48.73,48.83,48.73,48.77,275790
22-May-17,48.67,48.70,48.65,48.66,178532
19-May-17,48.65,48.72,48.64,48.70,508390
18-May-17,48.61,48.69,48.58,48.62,241030
17-May-17,48.46,48.61,48.46,48.58,423235
16-May-17,48.36,48.41,48.35,48.40,232978
15-May-17,48.30,48.36,48.29,48.36,263487
12-May-17,48.26,48.33,48.26,48.31,305776
11-May-17,48.17,48.22,48.16,48.21,359848
10-May-17,48.23,48.23,48.14,48.17,315504
9-May-17,48.16,48.20,48.14,48.14,549409
8-May-17,48.16,48.19,48.14,48.14,328143
5-May-17,48.14,48.21,48.14,48.18,162860
4-May-17,48.19,48.19,48.09,48.14,371785
3-May-17,48.11,48.20,48.11,48.16,464853
2-May-17,48.10,48.12,48.05,48.12,219663
1-May-17,48.17,48.18,48.06,48.11,371015
28-Apr-17,48.23,48.25,48.18,48.20,198296
