Date,Open,High,Low,Close,Volume
21-Jul-17,89.51,89.88,88.69,88.89,152322
20-Jul-17,90.69,90.96,89.56,89.71,179140
19-Jul-17,88.60,90.26,88.60,90.17,373012
18-Jul-17,89.64,89.64,88.35,88.69,157520
17-Jul-17,89.11,89.82,89.06,89.23,140697
14-Jul-17,88.82,89.48,88.75,89.27,158704
13-Jul-17,88.36,88.82,87.88,88.82,182126
12-Jul-17,88.97,89.28,87.99,88.34,302825
11-Jul-17,87.61,88.41,87.13,88.02,203389
10-Jul-17,87.00,87.77,86.75,87.56,351666
7-Jul-17,87.04,87.27,86.08,87.13,456518
6-Jul-17,88.55,88.84,87.16,87.33,395300
5-Jul-17,89.77,90.32,88.07,88.37,234916
3-Jul-17,88.88,90.77,88.85,90.37,263470
30-Jun-17,88.79,89.03,88.02,88.50,297996
29-Jun-17,88.36,89.20,88.00,88.21,309366
28-Jun-17,87.54,88.54,87.46,88.00,285830
27-Jun-17,87.79,88.34,87.41,87.41,347225
26-Jun-17,87.86,88.20,87.15,87.54,334424
23-Jun-17,86.99,87.74,86.72,87.61,238054
22-Jun-17,87.58,88.25,87.10,87.45,382224
21-Jun-17,88.95,89.33,87.00,87.47,595613
20-Jun-17,89.13,89.32,87.94,89.03,393119
19-Jun-17,90.61,90.79,90.02,90.24,281045
16-Jun-17,89.77,90.73,89.21,90.71,313493
15-Jun-17,89.71,90.24,88.91,89.27,403386
14-Jun-17,91.89,91.89,89.63,90.12,313218
13-Jun-17,91.44,92.31,91.16,92.15,327342
12-Jun-17,91.39,92.35,91.15,91.30,347487
9-Jun-17,88.65,91.06,88.65,90.76,465893
8-Jun-17,88.33,89.13,88.33,88.45,352070
7-Jun-17,90.06,90.46,88.23,88.73,539022
6-Jun-17,89.18,90.54,88.94,90.44,265385
5-Jun-17,88.78,89.60,88.78,89.32,352032
2-Jun-17,89.95,90.00,88.70,89.10,513173
1-Jun-17,89.81,90.62,89.33,90.28,249887
31-May-17,89.50,89.79,89.01,89.55,366669
30-May-17,90.87,91.06,90.03,90.06,471486
26-May-17,91.25,91.50,90.82,91.31,352037
25-May-17,92.92,93.86,90.96,91.32,319332
24-May-17,93.50,93.82,92.71,93.12,169146
23-May-17,93.55,93.78,93.18,93.61,152590
22-May-17,94.10,94.16,93.16,93.44,195748
19-May-17,92.88,93.95,92.76,93.69,143330
18-May-17,92.05,92.91,91.67,92.42,255044
17-May-17,92.91,93.56,92.44,92.52,235189
16-May-17,94.13,94.17,93.14,93.46,202277
15-May-17,94.50,94.77,93.63,93.87,220241
12-May-17,93.77,93.77,92.93,93.18,221561
11-May-17,94.06,94.22,93.33,93.50,314002
10-May-17,92.96,94.08,92.87,93.71,340515
9-May-17,93.35,93.35,92.09,92.35,356821
8-May-17,92.58,93.37,92.38,93.19,254895
5-May-17,90.97,92.63,90.89,92.58,1056525
4-May-17,92.21,92.26,90.23,90.81,965065
3-May-17,92.54,93.18,92.05,92.82,395735
2-May-17,93.31,93.55,92.14,92.54,366737
1-May-17,93.24,93.47,92.79,93.14,216187
28-Apr-17,94.15,94.25,93.19,93.33,387546
27-Apr-17,93.87,93.87,92.32,93.25,570404
26-Apr-17,94.31,95.74,94.29,94.40,269612
25-Apr-17,93.99,94.91,93.82,94.74,214739
24-Apr-17,93.95,94.18,93.48,93.73,282464
21-Apr-17,93.31,93.68,92.72,93.26,293392
20-Apr-17,93.58,94.31,93.46,93.62,352259
19-Apr-17,95.12,95.19,93.02,93.30,271593
18-Apr-17,95.15,95.90,94.55,94.78,202536
17-Apr-17,95.50,95.80,95.24,95.67,342962
13-Apr-17,97.25,97.25,95.30,95.52,222136
12-Apr-17,98.00,98.60,97.16,97.34,109033
11-Apr-17,97.92,98.00,96.90,97.96,155325
10-Apr-17,97.73,98.35,97.50,98.00,207701
7-Apr-17,97.66,97.82,96.98,97.14,132149
6-Apr-17,97.07,97.75,96.94,97.51,221305
5-Apr-17,97.92,98.84,96.53,96.69,560377
4-Apr-17,96.52,97.20,95.75,97.20,145910
3-Apr-17,96.66,96.86,95.50,96.46,254609
31-Mar-17,96.72,97.16,96.13,96.71,316686
30-Mar-17,97.27,97.48,96.36,96.86,252541
29-Mar-17,95.24,96.64,94.95,96.54,215948
28-Mar-17,93.99,95.42,93.76,95.24,290778
27-Mar-17,93.27,94.06,93.18,93.84,312985
24-Mar-17,94.67,94.86,94.00,94.15,256324
23-Mar-17,95.08,95.86,94.99,95.13,174531
22-Mar-17,95.32,95.78,94.87,95.45,256257
21-Mar-17,96.71,96.99,95.32,95.57,335782
20-Mar-17,96.20,96.57,95.58,96.46,212558
17-Mar-17,96.99,97.19,96.52,96.60,137522
16-Mar-17,97.40,97.65,96.36,96.63,235925
15-Mar-17,95.88,97.45,95.55,97.21,260555
14-Mar-17,95.55,95.55,94.16,95.14,700927
13-Mar-17,96.10,96.75,95.88,96.33,328889
10-Mar-17,97.00,97.02,95.59,96.23,214013
9-Mar-17,95.40,96.33,94.67,96.23,589204
8-Mar-17,98.06,98.52,95.72,95.79,458586
7-Mar-17,99.54,99.58,98.36,98.45,170966
6-Mar-17,98.87,99.43,98.60,99.31,232752
3-Mar-17,99.66,99.89,98.90,99.09,304463
2-Mar-17,99.88,100.44,99.38,99.42,209191
1-Mar-17,99.07,100.80,99.07,100.46,332799
28-Feb-17,98.46,98.83,98.08,98.37,285917
27-Feb-17,97.91,99.07,97.53,98.75,638296
24-Feb-17,98.16,98.44,97.31,97.76,354622
23-Feb-17,99.45,99.76,98.25,98.87,363576
22-Feb-17,99.50,99.96,98.44,98.48,357085
21-Feb-17,100.39,100.61,99.96,100.14,617119
17-Feb-17,99.53,99.97,99.09,99.40,203435
