Date,Open,High,Low,Close,Volume
21-Jul-17,42.27,42.32,42.12,42.32,5023423
20-Jul-17,42.39,42.48,42.32,42.43,5468053
19-Jul-17,42.18,42.29,42.15,42.29,5468375
18-Jul-17,42.03,42.09,41.97,42.09,5403034
17-Jul-17,42.00,42.08,41.97,42.00,7084205
14-Jul-17,41.91,42.12,41.88,42.07,5368843
13-Jul-17,41.71,41.79,41.64,41.77,5408317
12-Jul-17,41.52,41.70,41.51,41.65,7592315
11-Jul-17,41.11,41.29,41.03,41.28,6251046
10-Jul-17,41.07,41.21,41.02,41.15,4998450
7-Jul-17,40.99,41.12,40.88,41.08,6873295
6-Jul-17,41.01,41.16,40.94,41.01,7133801
5-Jul-17,41.14,41.26,41.02,41.26,7208735
3-Jul-17,41.29,41.37,41.24,41.24,5231095
30-Jun-17,41.39,41.42,41.09,41.32,10787499
29-Jun-17,41.55,41.55,41.08,41.24,8548144
28-Jun-17,41.46,41.69,41.42,41.66,16558127
27-Jun-17,41.33,41.39,41.22,41.29,20450962
26-Jun-17,41.47,41.51,41.28,41.30,7147191
23-Jun-17,41.11,41.27,41.05,41.22,5949079
22-Jun-17,41.10,41.19,41.04,41.13,4580081
21-Jun-17,41.04,41.12,40.96,41.05,6565627
20-Jun-17,41.82,41.86,41.52,41.57,7489089
19-Jun-17,41.93,42.02,41.91,41.95,7286524
16-Jun-17,41.61,41.80,41.55,41.80,5207543
15-Jun-17,41.26,41.46,41.22,41.43,10635735
14-Jun-17,42.18,42.18,41.75,41.88,9199983
13-Jun-17,41.86,41.93,41.78,41.93,5147964
12-Jun-17,41.60,41.64,41.45,41.57,5699533
9-Jun-17,41.68,41.84,41.56,41.70,7002964
8-Jun-17,41.77,41.86,41.72,41.85,6674100
7-Jun-17,42.00,42.05,41.77,41.91,6071410
6-Jun-17,41.87,41.94,41.81,41.94,8859312
5-Jun-17,42.03,42.05,41.96,42.04,6422424
2-Jun-17,42.10,42.25,42.02,42.22,12525955
1-Jun-17,41.69,41.82,41.65,41.82,11354196
31-May-17,41.68,41.69,41.48,41.54,11459491
30-May-17,41.42,41.50,41.40,41.46,5553535
26-May-17,41.45,41.53,41.42,41.53,5719823
25-May-17,41.67,41.72,41.58,41.64,6054311
24-May-17,41.50,41.65,41.46,41.65,5688988
23-May-17,41.69,41.70,41.52,41.56,7562837
22-May-17,41.58,41.65,41.52,41.60,9855752
19-May-17,41.30,41.52,41.28,41.49,7657363
18-May-17,40.84,41.04,40.78,41.02,7409162
17-May-17,41.21,41.27,40.92,40.94,10037744
16-May-17,41.42,41.46,41.37,41.44,8947812
15-May-17,41.14,41.23,41.12,41.23,9291397
12-May-17,40.85,40.99,40.83,40.99,10749381
11-May-17,40.75,40.82,40.65,40.81,10625298
10-May-17,40.86,40.89,40.78,40.89,6317980
9-May-17,40.89,40.91,40.76,40.83,6998297
8-May-17,40.94,40.94,40.83,40.90,6294783
5-May-17,40.72,41.13,40.69,41.09,8788859
4-May-17,40.52,40.69,40.47,40.68,8104379
3-May-17,40.41,40.47,40.32,40.39,14817914
2-May-17,40.41,40.55,40.40,40.52,7157409
1-May-17,40.25,40.38,40.25,40.28,7222665
