Date,Open,High,Low,Close,Volume
21-Jul-17,49.32,49.32,49.27,49.30,201771
20-Jul-17,49.33,49.35,49.26,49.30,367693
19-Jul-17,49.30,49.32,49.27,49.32,463532
18-Jul-17,49.28,49.31,49.26,49.30,1288617
17-Jul-17,49.24,49.25,49.20,49.25,193756
14-Jul-17,49.22,49.24,49.19,49.24,211207
13-Jul-17,49.21,49.25,49.20,49.22,280582
12-Jul-17,49.29,49.29,49.23,49.23,205741
11-Jul-17,49.11,49.20,49.11,49.20,314247
10-Jul-17,49.16,49.19,49.14,49.17,176722
7-Jul-17,49.19,49.20,49.13,49.17,195686
6-Jul-17,49.24,49.24,49.19,49.19,345945
5-Jul-17,49.21,49.25,49.20,49.24,299098
3-Jul-17,49.24,49.24,49.20,49.23,242446
30-Jun-17,49.25,49.27,49.21,49.23,157580
29-Jun-17,49.27,49.27,49.22,49.27,241403
28-Jun-17,49.29,49.32,49.24,49.31,249479
27-Jun-17,49.27,49.27,49.22,49.25,357113
26-Jun-17,49.28,49.28,49.22,49.28,218038
23-Jun-17,49.24,49.26,49.21,49.23,283604
22-Jun-17,49.17,49.23,49.16,49.23,262198
21-Jun-17,49.14,49.18,49.14,49.17,469226
20-Jun-17,49.12,49.15,49.10,49.15,270583
19-Jun-17,49.16,49.19,49.13,49.15,206996
16-Jun-17,49.19,49.22,49.18,49.22,179511
15-Jun-17,49.16,49.17,49.14,49.17,290185
14-Jun-17,49.36,49.36,49.21,49.26,236857
13-Jun-17,49.35,49.38,49.34,49.36,157269
12-Jun-17,49.41,49.42,49.36,49.37,233745
9-Jun-17,49.40,49.43,49.39,49.42,154162
8-Jun-17,49.39,49.43,49.38,49.40,298661
7-Jun-17,49.45,49.49,49.42,49.43,226328
6-Jun-17,49.48,49.53,49.47,49.53,227103
5-Jun-17,49.46,49.48,49.44,49.45,240562
2-Jun-17,49.46,49.51,49.45,49.49,269159
1-Jun-17,49.43,49.47,49.40,49.47,429204
31-May-17,49.43,49.47,49.40,49.45,189328
30-May-17,49.44,49.48,49.41,49.48,271045
26-May-17,49.40,49.45,49.39,49.44,156133
25-May-17,49.42,49.44,49.36,49.38,256053
24-May-17,49.38,49.43,49.36,49.41,163852
23-May-17,49.44,49.48,49.38,49.39,265398
22-May-17,49.40,49.44,49.39,49.41,325776
19-May-17,49.41,49.44,49.37,49.42,217420
18-May-17,49.39,49.42,49.34,49.38,194555
17-May-17,49.38,49.41,49.35,49.41,304564
16-May-17,49.31,49.34,49.29,49.33,273845
15-May-17,49.34,49.38,49.31,49.32,219845
12-May-17,49.34,49.38,49.30,49.33,297799
11-May-17,49.30,49.36,49.26,49.36,309970
10-May-17,49.29,49.31,49.25,49.29,599732
9-May-17,49.26,49.27,49.21,49.24,285407
8-May-17,49.30,49.32,49.24,49.28,356913
5-May-17,49.29,49.32,49.26,49.32,208393
4-May-17,49.30,49.31,49.24,49.28,313085
3-May-17,49.40,49.40,49.33,49.37,609829
2-May-17,49.44,49.46,49.40,49.43,268542
1-May-17,49.48,49.50,49.41,49.45,322984
28-Apr-17,49.47,49.49,49.44,49.46,207987
27-Apr-17,49.48,49.48,49.44,49.44,285929
26-Apr-17,49.47,49.49,49.45,49.45,294396
25-Apr-17,49.46,49.48,49.44,49.45,448285
24-Apr-17,49.47,49.50,49.43,49.49,194862
21-Apr-17,49.51,49.55,49.46,49.50,298653
20-Apr-17,49.48,49.50,49.45,49.49,227180
19-Apr-17,49.51,49.53,49.46,49.47,201272
18-Apr-17,49.52,49.55,49.46,49.53,371767
17-Apr-17,49.51,49.56,49.47,49.51,774298
13-Apr-17,49.59,49.62,49.55,49.60,288991
12-Apr-17,49.54,49.59,49.50,49.56,269579
11-Apr-17,49.52,49.54,49.48,49.53,245535
10-Apr-17,49.51,49.52,49.47,49.50,333186
7-Apr-17,49.54,49.57,49.46,49.48,411259
6-Apr-17,49.56,49.58,49.51,49.55,687057
5-Apr-17,49.54,49.59,49.52,49.58,1624329
4-Apr-17,49.55,49.57,49.51,49.53,371375
3-Apr-17,49.53,49.57,49.50,49.56,591564
