Date	Open	High	Low	Close	Volume
21-Jul-17	97.59	97.81	97.37	97.69	895026
20-Jul-17	97.94	98.01	97.66	97.87	743993
19-Jul-17	97.47	97.79	97.41	97.79	1094899
18-Jul-17	97.35	97.38	97.02	97.37	752877
17-Jul-17	97.46	97.67	97.37	97.52	708410
14-Jul-17	97.11	97.72	96.95	97.53	1090828
13-Jul-17	97.11	97.23	96.92	97.2	707392
12-Jul-17	96.85	97.15	96.85	97.02	773466
11-Jul-17	96.66	96.7	96.03	96.46	637050
10-Jul-17	96.64	96.84	96.54	96.68	857455
7-Jul-17	96.52	96.8	96.32	96.74	869295
6-Jul-17	96.93	96.98	96.21	96.28	1075255
5-Jul-17	97.35	97.37	96.82	97.18	1104142
3-Jul-17	96.93	97.6	96.93	97.19	705662
30-Jun-17	96.78	96.88	96.39	96.56	1522445
29-Jun-17	97.22	97.27	95.89	96.33	1816967
28-Jun-17	96.63	97.02	96.63	96.86	4784593
27-Jun-17	96.58	96.82	96.11	96.11	1102758
26-Jun-17	96.68	96.94	96.5	96.63	732604
23-Jun-17	96.46	96.58	96.21	96.36	1540753
22-Jun-17	97.05	97.22	96.88	96.9	636991
21-Jun-17	97.44	97.48	96.84	96.98	810942
20-Jun-17	97.78	97.83	97.37	97.37	945150
19-Jun-17	97.74	98.07	97.72	98	967544
16-Jun-17	97.35	97.48	97.01	97.48	712194
15-Jun-17	97.01	97.38	96.98	97.34	1138559
14-Jun-17	97.62	97.62	97.16	97.48	1167953
13-Jun-17	97.39	97.62	97.27	97.59	2060049
12-Jun-17	97.13	97.5	96.96	97.27	1531589
9-Jun-17	96.49	97.11	96.43	97.08	1994091
8-Jun-17	96.19	96.66	96.13	96.31	3279508
7-Jun-17	96.24	96.31	95.92	96.21	806252
6-Jun-17	95.97	96.3	95.86	96.08	786281
5-Jun-17	96.33	96.48	96.22	96.27	692864
2-Jun-17	96.23	96.44	96.05	96.29	1310491
1-Jun-17	95.66	96.27	95.5	96.27	2407712
31-May-17	95.62	95.62	95.11	95.4	1729195
30-May-17	95.5	95.66	95.38	95.53	960281
26-May-17	95.63	95.78	95.54	95.71	829406
25-May-17	95.65	95.89	95.53	95.69	1419130
24-May-17	95.48	95.5	95.18	95.44	814274
23-May-17	95.16	95.45	95.01	95.35	3712862
22-May-17	94.85	95.08	94.72	95.01	1451203
19-May-17	94.12	94.91	94.02	94.61	1748145
18-May-17	93.54	94.34	93.39	93.87	1536349
17-May-17	94.61	94.79	93.7	93.72	2419949
16-May-17	95.61	95.64	95.24	95.39	921174
15-May-17	95.2	95.56	95.2	95.52	868799
12-May-17	95.12	95.12	94.83	94.97	789496
11-May-17	95.41	95.5	94.87	95.35	1511238
10-May-17	95.32	95.62	95.29	95.59	846760
9-May-17	95.72	95.77	95.2	95.35	2470232
8-May-17	95.75	95.81	95.51	95.65	1207739
5-May-17	95.49	95.74	95.34	95.74	973013
4-May-17	95.56	95.6	94.98	95.34	891281
3-May-17	95.14	95.43	95.01	95.34	1106424
2-May-17	95.47	95.5	95.1	95.29	1456963
1-May-17	95.56	95.62	95.2	95.35	1056249
28-Apr-17	95.8	95.82	95.28	95.34	984655
27-Apr-17	95.97	96	95.44	95.72	1465889
26-Apr-17	95.91	96.4	95.82	95.91	1100150
25-Apr-17	95.88	96.18	95.79	95.99	1359654
24-Apr-17	95.39	95.6	95.25	95.49	785366
21-Apr-17	94.66	94.73	94.2	94.36	918144
20-Apr-17	94.26	94.94	94.06	94.73	1175407
19-Apr-17	94.5	94.61	93.81	93.93	1093820
18-Apr-17	94.3	94.51	93.92	94.26	1196251
17-Apr-17	94.08	94.68	93.92	94.67	1857811
13-Apr-17	94.49	94.77	93.9	93.91	1158886
12-Apr-17	95.01	95.03	94.5	94.7	1833150
11-Apr-17	94.95	95.1	94.36	95.1	1498915
10-Apr-17	95.15	95.51	94.87	95.1	1008911
7-Apr-17	95.13	95.46	94.9	95.09	1122197
6-Apr-17	95.03	95.51	94.74	95.21	1140357
5-Apr-17	95.7	96.17	94.88	94.91	1863916
4-Apr-17	95.03	95.32	94.85	95.3	1031690
3-Apr-17	95.43	95.44	94.52	95.17	1715919
31-Mar-17	95.58	95.71	95.35	95.37	1315896
30-Mar-17	95.24	95.78	95.08	95.68	1010369
29-Mar-17	95.16	95.36	94.92	95.21	2012462
28-Mar-17	94.33	95.46	94.26	95.25	1578555
27-Mar-17	93.89	94.6	93.67	94.46	1586833
24-Mar-17	95.02	95.25	94.32	94.68	1545883
23-Mar-17	95.32	96.03	95.21	95.43	1688251
22-Mar-17	95.3	95.66	95.03	95.46	1255480
21-Mar-17	97.03	97.03	95.29	95.35	1499356
20-Mar-17	96.99	97.01	96.62	96.73	857967
17-Mar-17	97.4	97.4	97.01	97.01	799665
16-Mar-17	97.53	97.57	97.08	97.26	2285635
15-Mar-17	96.86	97.59	96.67	97.4	1283705
14-Mar-17	96.73	96.73	96.25	96.58	1060482
13-Mar-17	97	97.1	96.8	96.95	1725715
10-Mar-17	97.24	97.28	96.61	97.03	1360538
9-Mar-17	96.71	96.92	96.32	96.72	1208386
8-Mar-17	97.05	97.16	96.56	96.64	1489848
7-Mar-17	97.12	97.19	96.8	96.88	1388053
6-Mar-17	97.16	97.38	96.95	97.22	1788370
3-Mar-17	97.52	97.66	97.35	97.55	1591644
2-Mar-17	98.16	98.24	97.48	97.52	1285655
1-Mar-17	97.63	98.5	97.61	98.24	1503892
28-Feb-17	96.79	96.97	96.59	96.82	2719785
27-Feb-17	96.88	97.13	96.77	97.02	2818082
24-Feb-17	96.46	96.94	96.46	96.92	1116671
23-Feb-17	96.96	97	96.51	96.91	1022666
22-Feb-17	96.52	96.79	96.46	96.7	2519168
