"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 01, 2017","1,747.67","1,744.26","1,751.83","1,741.38","0","0.20"
"Jul 31, 2017","1,744.26","1,747.81","1,751.54","1,738.75","0","-0.20"
"Jul 28, 2017","1,747.81","1,753.00","1,753.00","1,743.59","0","-0.30"
"Jul 27, 2017","1,753.00","1,761.64","1,763.96","1,744.20","0","-0.49"
"Jul 26, 2017","1,761.64","1,770.63","1,772.80","1,760.91","0","-0.51"
"Jul 25, 2017","1,770.63","1,757.81","1,772.89","1,757.81","0","0.73"
"Jul 24, 2017","1,757.81","1,754.33","1,758.28","1,751.24","0","0.20"
"Jul 21, 2017","1,754.33","1,759.78","1,763.74","1,750.87","0","-0.31"
"Jul 20, 2017","1,759.78","1,760.75","1,763.51","1,756.57","0","-0.06"
"Jul 19, 2017","1,760.75","1,742.59","1,760.75","1,742.59","0","1.04"
"Jul 18, 2017","1,742.59","1,746.54","1,746.54","1,736.87","0","-0.23"
"Jul 17, 2017","1,746.54","1,743.77","1,749.10","1,740.83","0","0.16"
"Jul 14, 2017","1,743.77","1,737.83","1,748.17","1,737.83","0","0.34"
"Jul 13, 2017","1,737.83","1,735.01","1,737.83","1,728.02","0","0.16"
"Jul 12, 2017","1,735.01","1,721.72","1,742.77","1,721.72","0","0.77"
"Jul 11, 2017","1,721.72","1,717.02","1,723.08","1,710.14","0","0.27"
"Jul 10, 2017","1,717.02","1,723.36","1,725.40","1,715.62","0","-0.37"
"Jul 07, 2017","1,723.36","1,707.53","1,724.38","1,707.53","0","0.93"
"Jul 06, 2017","1,707.53","1,730.92","1,730.92","1,705.71","0","-1.35"
"Jul 05, 2017","1,730.92","1,737.11","1,737.54","1,724.87","0","-0.36"
"Jul 03, 2017","1,737.11","1,726.09","1,740.44","1,726.09","0","0.64"
"Jun 30, 2017","1,726.09","1,723.24","1,732.45","1,721.80","0","0.17"
"Jun 29, 2017","1,723.24","1,736.51","1,738.85","1,709.27","0","-0.76"
"Jun 28, 2017","1,736.51","1,715.69","1,738.96","1,715.69","0","1.21"
"Jun 27, 2017","1,715.69","1,731.59","1,734.26","1,715.69","0","-0.92"
"Jun 26, 2017","1,731.59","1,726.75","1,735.91","1,723.49","0","0.28"
"Jun 23, 2017","1,726.76","1,715.20","1,727.46","1,713.52","0","0.67"
"Jun 22, 2017","1,715.20","1,711.65","1,719.81","1,708.28","0","0.21"
"Jun 21, 2017","1,711.65","1,719.03","1,725.80","1,709.98","0","-0.43"
"Jun 20, 2017","1,719.03","1,736.48","1,736.48","1,718.41","0","-1.00"
"Jun 19, 2017","1,736.48","1,722.06","1,737.99","1,722.06","0","0.84"
"Jun 16, 2017","1,722.08","1,724.19","1,724.19","1,713.74","0","-0.12"
"Jun 15, 2017","1,724.19","1,732.78","1,732.78","1,715.82","0","-0.50"
"Jun 14, 2017","1,732.78","1,741.23","1,742.41","1,726.04","0","-0.49"
"Jun 13, 2017","1,741.23","1,729.70","1,741.61","1,729.70","0","0.67"
"Jun 12, 2017","1,729.70","1,730.02","1,733.56","1,722.66","0","-0.02"
"Jun 09, 2017","1,730.02","1,725.37","1,742.87","1,721.16","0","0.27"
"Jun 08, 2017","1,725.37","1,711.31","1,729.25","1,708.03","0","0.82"
"Jun 07, 2017","1,711.31","1,712.53","1,717.14","1,706.68","0","-0.07"
"Jun 06, 2017","1,712.53","1,717.23","1,719.63","1,705.09","0","-0.27"
