"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 01, 2017","1,854.41","1,849.92","1,855.95","1,849.92","0","0.24"
"Jul 31, 2017","1,849.92","1,851.23","1,855.62","1,848.57","0","-0.07"
"Jul 28, 2017","1,851.23","1,853.65","1,853.65","1,845.90","0","-0.13"
"Jul 27, 2017","1,853.65","1,855.73","1,860.40","1,842.29","0","-0.11"
"Jul 26, 2017","1,855.73","1,855.30","1,858.30","1,853.67","0","0.02"
"Jul 25, 2017","1,855.30","1,850.02","1,858.27","1,850.02","0","0.29"
"Jul 24, 2017","1,850.02","1,851.77","1,852.32","1,847.33","0","-0.09"
"Jul 21, 2017","1,851.77","1,852.36","1,852.36","1,846.10","0","-0.03"
"Jul 20, 2017","1,852.36","1,852.51","1,855.31","1,848.66","0","-0.01"
"Jul 19, 2017","1,852.51","1,842.65","1,852.51","1,842.65","0","0.54"
"Jul 18, 2017","1,842.65","1,841.53","1,842.84","1,835.03","0","0.06"
"Jul 17, 2017","1,841.53","1,841.73","1,844.18","1,840.23","0","-0.01"
"Jul 14, 2017","1,841.73","1,833.30","1,844.82","1,832.52","0","0.46"
"Jul 13, 2017","1,833.30","1,830.01","1,834.34","1,828.69","0","0.18"
"Jul 12, 2017","1,830.01","1,816.75","1,831.87","1,816.75","0","0.73"
"Jul 11, 2017","1,816.75","1,817.93","1,819.43","1,807.47","0","-0.06"
"Jul 10, 2017","1,817.93","1,816.23","1,821.26","1,814.25","0","0.09"
"Jul 07, 2017","1,816.23","1,804.45","1,817.49","1,804.45","0","0.65"
"Jul 06, 2017","1,804.45","1,821.71","1,821.71","1,802.96","0","-0.95"
"Jul 05, 2017","1,821.71","1,819.41","1,823.50","1,814.10","0","0.13"
"Jul 03, 2017","1,819.41","1,815.41","1,827.05","1,815.41","0","0.22"
"Jun 30, 2017","1,815.41","1,812.67","1,822.25","1,812.67","0","0.15"
"Jun 29, 2017","1,812.67","1,828.49","1,829.92","1,802.22","0","-0.87"
"Jun 28, 2017","1,828.49","1,812.44","1,830.12","1,812.44","0","0.89"
"Jun 27, 2017","1,812.44","1,827.40","1,828.22","1,812.44","0","-0.82"
"Jun 26, 2017","1,827.40","1,826.92","1,835.84","1,825.78","0","0.03"
"Jun 23, 2017","1,826.92","1,823.91","1,829.13","1,821.53","0","0.17"
