"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 01, 2017","1,821.70","1,817.82","1,823.74","1,815.87","0","0.21"
"Jul 31, 2017","1,817.82","1,819.35","1,823.43","1,814.27","0","-0.08"
"Jul 28, 2017","1,819.35","1,820.65","1,820.65","1,815.35","0","-0.07"
"Jul 27, 2017","1,820.65","1,826.79","1,828.75","1,810.94","0","-0.34"
"Jul 26, 2017","1,826.79","1,830.29","1,832.98","1,825.14","0","-0.19"
"Jul 25, 2017","1,830.29","1,823.58","1,834.12","1,823.58","0","0.37"
"Jul 24, 2017","1,823.58","1,824.14","1,824.97","1,820.72","0","-0.03"
"Jul 21, 2017","1,824.14","1,822.96","1,824.26","1,819.24","0","0.06"
"Jul 20, 2017","1,822.96","1,825.28","1,827.42","1,820.25","0","-0.13"
"Jul 19, 2017","1,825.28","1,812.78","1,825.28","1,812.78","0","0.69"
"Jul 18, 2017","1,812.78","1,816.66","1,816.66","1,807.27","0","-0.21"
"Jul 17, 2017","1,816.66","1,813.24","1,818.78","1,810.75","0","0.19"
"Jul 14, 2017","1,813.24","1,805.35","1,815.99","1,805.35","0","0.44"
"Jul 13, 2017","1,805.35","1,801.90","1,806.39","1,799.24","0","0.19"
"Jul 12, 2017","1,801.90","1,788.70","1,805.17","1,788.70","0","0.74"
"Jul 11, 2017","1,788.70","1,789.04","1,791.79","1,779.80","0","-0.02"
"Jul 10, 2017","1,789.04","1,788.67","1,792.52","1,785.40","0","0.02"
"Jul 07, 2017","1,788.67","1,774.01","1,791.41","1,774.01","0","0.83"
"Jul 06, 2017","1,774.01","1,793.24","1,793.24","1,772.11","0","-1.07"
"Jul 05, 2017","1,793.24","1,793.96","1,795.86","1,787.25","0","-0.04"
"Jul 03, 2017","1,793.96","1,788.13","1,800.57","1,788.13","0","0.33"
"Jun 30, 2017","1,788.13","1,784.30","1,794.84","1,784.30","0","0.21"
"Jun 29, 2017","1,784.30","1,798.90","1,801.76","1,772.84","0","-0.81"
"Jun 28, 2017","1,798.90","1,784.47","1,802.02","1,784.47","0","0.81"
"Jun 27, 2017","1,784.47","1,800.34","1,802.12","1,784.47","0","-0.88"
"Jun 26, 2017","1,800.34","1,796.02","1,806.01","1,796.02","0","0.24"
"Jun 23, 2017","1,796.02","1,789.01","1,797.91","1,787.69","0","0.39"
"Jun 22, 2017","1,789.01","1,788.27","1,794.09","1,783.92","0","0.04"
"Jun 21, 2017","1,788.27","1,790.52","1,796.64","1,784.74","0","-0.13"
"Jun 20, 2017","1,790.52","1,808.15","1,808.15","1,789.78","0","-0.98"
"Jun 19, 2017","1,808.15","1,796.78","1,808.58","1,796.78","0","0.63"
"Jun 16, 2017","1,796.78","1,796.77","1,796.79","1,790.27","0","0.00"
"Jun 15, 2017","1,796.77","1,801.34","1,801.34","1,787.14","0","-0.25"
"Jun 14, 2017","1,801.34","1,807.02","1,809.63","1,795.31","0","-0.31"
"Jun 13, 2017","1,807.02","1,793.92","1,807.13","1,793.92","0","0.73"
"Jun 12, 2017","1,793.92","1,794.20","1,794.45","1,785.31","0","-0.02"
"Jun 09, 2017","1,794.20","1,795.07","1,805.80","1,785.06","0","-0.05"
"Jun 08, 2017","1,795.07","1,792.45","1,797.14","1,787.14","0","0.15"
"Jun 07, 2017","1,792.45","1,789.82","1,795.68","1,787.72","0","0.15"
"Jun 06, 2017","1,789.82","1,796.20","1,796.20","1,786.92","0","-0.36"
"Jun 05, 2017","1,796.20","1,802.51","1,802.51","1,795.52","0","-0.35"
"Jun 02, 2017","1,802.51","1,799.91","1,804.47","1,795.48","0","0.14"
"Jun 01, 2017","1,799.91","1,779.07","1,799.91","1,779.07","0","1.17"
"May 31, 2017","1,779.07","1,777.05","1,779.60","1,767.44","0","0.11"
"May 30, 2017","1,777.05","1,780.79","1,780.79","1,774.07","0","-0.21"
"May 26, 2017","1,780.79","1,782.67","1,782.67","1,778.66","0","-0.11"
"May 25, 2017","1,782.67","1,773.20","1,785.92","1,773.20","0","0.53"
"May 24, 2017","1,773.20","1,769.41","1,773.88","1,768.57","0","0.21"
"May 23, 2017","1,769.41","1,769.54","1,772.60","1,765.14","0","-0.01"
"May 22, 2017","1,769.54","1,757.77","1,770.73","1,757.77","0","0.67"
"May 19, 2017","1,757.77","1,743.02","1,763.65","1,743.02","0","0.85"
"May 18, 2017","1,743.02","1,737.72","1,748.98","1,731.91","0","0.31"
"May 17, 2017","1,737.72","1,769.86","1,769.86","1,737.22","0","-1.82"
"May 16, 2017","1,769.86","1,773.46","1,775.62","1,765.56","0","-0.20"
"May 15, 2017","1,773.46","1,759.29","1,775.63","1,759.29","0","0.81"
"May 12, 2017","1,759.29","1,767.58","1,767.58","1,757.73","0","-0.47"
"May 11, 2017","1,767.58","1,777.44","1,777.44","1,757.53","0","-0.55"
"May 10, 2017","1,777.44","1,769.25","1,778.34","1,769.25","0","0.46"
"May 09, 2017","1,769.25","1,769.52","1,772.61","1,766.12","0","-0.02"
"May 08, 2017","1,769.52","1,773.39","1,775.52","1,765.85","0","-0.22"
"May 05, 2017","1,773.39","1,761.19","1,773.39","1,761.19","0","0.69"
"May 04, 2017","1,761.19","1,759.86","1,763.21","1,753.45","0","0.08"
"May 03, 2017","1,759.86","1,767.94","1,767.94","1,755.45","0","-0.46"
"May 02, 2017","1,767.94","1,767.14","1,770.82","1,763.79","0","0.05"
"May 01, 2017","1,767.14","1,765.88","1,771.27","1,763.37","0","0.07"
"Apr 28, 2017","1,765.88","1,775.06","1,776.20","1,764.58","0","-0.52"
"Apr 27, 2017","1,775.06","1,773.50","1,778.80","1,769.48","0","0.09"
"Apr 26, 2017","1,773.50","1,773.49","1,780.48","1,771.27","0","0.00"
"Apr 25, 2017","1,773.49","1,763.96","1,775.78","1,763.96","0","0.54"
"Apr 24, 2017","1,763.96","1,743.89","1,766.28","1,743.89","0","1.15"
"Apr 21, 2017","1,743.89","1,749.66","1,749.66","1,740.98","0","-0.33"
"Apr 20, 2017","1,749.66","1,734.13","1,752.39","1,734.13","0","0.90"
"Apr 19, 2017","1,734.13","1,731.05","1,742.12","1,731.05","0","0.18"
"Apr 18, 2017","1,731.05","1,735.18","1,735.18","1,723.72","0","-0.24"
"Apr 17, 2017","1,735.18","1,719.52","1,735.18","1,719.52","0","0.91"
"Apr 13, 2017","1,719.54","1,730.59","1,733.30","1,719.19","0","-0.64"
"Apr 12, 2017","1,730.59","1,743.44","1,743.44","1,728.67","0","-0.74"
"Apr 11, 2017","1,743.44","1,741.94","1,743.44","1,728.59","0","0.09"
"Apr 10, 2017","1,741.94","1,737.59","1,747.28","1,736.20","0","0.25"
"Apr 07, 2017","1,737.59","1,739.14","1,742.53","1,733.31","0","-0.09"
"Apr 06, 2017","1,739.14","1,728.54","1,742.34","1,726.73","0","0.61"
"Apr 05, 2017","1,728.54","1,735.67","1,749.56","1,726.47","0","-0.41"
"Apr 04, 2017","1,735.67","1,738.58","1,738.98","1,732.30","0","-0.17"
"Apr 03, 2017","1,738.58","1,746.40","1,749.02","1,729.14","0","-0.45"
"Mar 31, 2017","1,746.40","1,747.12","1,751.43","1,743.40","0","-0.04"
"Mar 30, 2017","1,747.12","1,743.55","1,748.83","1,740.95","0","0.20"
"Mar 29, 2017","1,743.55","1,738.29","1,744.50","1,733.25","0","0.30"
"Mar 28, 2017","1,738.29","1,724.85","1,741.59","1,723.09","0","0.78"
"Mar 27, 2017","1,724.85","1,726.92","1,727.29","1,708.32","0","-0.12"
"Mar 24, 2017","1,726.92","1,726.32","1,736.54","1,720.86","0","0.03"
"Mar 23, 2017","1,726.32","1,725.29","1,737.14","1,722.53","0","0.06"
"Mar 22, 2017","1,725.29","1,719.88","1,727.13","1,714.49","0","0.31"
"Mar 21, 2017","1,719.88","1,747.98","1,753.01","1,718.46","0","-1.61"
"Mar 20, 2017","1,747.98","1,753.62","1,753.62","1,744.67","0","-0.32"
