"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 01, 2017","1,838.87","1,834.59","1,840.82","1,834.59","0","0.23"
"Jul 31, 2017","1,834.59","1,836.26","1,840.49","1,832.61","0","-0.09"
"Jul 28, 2017","1,836.26","1,839.03","1,839.03","1,831.54","0","-0.15"
"Jul 27, 2017","1,839.03","1,842.29","1,846.59","1,828.17","0","-0.18"
"Jul 26, 2017","1,842.29","1,843.22","1,845.71","1,840.55","0","-0.05"
"Jul 25, 2017","1,843.22","1,836.80","1,846.04","1,836.80","0","0.35"
"Jul 24, 2017","1,836.80","1,837.75","1,838.76","1,833.60","0","-0.05"
"Jul 21, 2017","1,837.75","1,839.10","1,839.10","1,833.12","0","-0.07"
"Jul 20, 2017","1,839.10","1,839.40","1,842.08","1,835.56","0","-0.02"
"Jul 19, 2017","1,839.40","1,828.39","1,839.40","1,828.39","0","0.60"
"Jul 18, 2017","1,828.39","1,828.07","1,828.66","1,821.15","0","0.02"
"Jul 17, 2017","1,828.07","1,827.83","1,830.71","1,826.08","0","0.01"
"Jul 14, 2017","1,827.83","1,819.83","1,831.12","1,819.18","0","0.44"
"Jul 13, 2017","1,819.83","1,816.68","1,820.57","1,814.44","0","0.17"
"Jul 12, 2017","1,816.68","1,803.36","1,818.67","1,803.36","0","0.74"
"Jul 11, 2017","1,803.36","1,803.64","1,805.81","1,793.75","0","-0.02"
"Jul 10, 2017","1,803.64","1,803.26","1,807.19","1,800.74","0","0.02"
"Jul 07, 2017","1,803.26","1,790.78","1,804.17","1,790.78","0","0.70"
"Jul 06, 2017","1,790.78","1,808.97","1,808.97","1,789.25","0","-1.01"
"Jul 05, 2017","1,808.97","1,807.98","1,810.59","1,801.85","0","0.05"
"Jul 03, 2017","1,807.98","1,802.83","1,814.60","1,802.83","0","0.29"
"Jun 30, 2017","1,802.83","1,800.22","1,809.53","1,800.22","0","0.14"
"Jun 29, 2017","1,800.22","1,815.57","1,817.14","1,789.19","0","-0.85"
"Jun 28, 2017","1,815.57","1,798.63","1,817.15","1,798.63","0","0.94"
"Jun 27, 2017","1,798.63","1,813.77","1,814.73","1,798.63","0","-0.83"
"Jun 26, 2017","1,813.77","1,812.57","1,821.44","1,811.12","0","0.07"
"Jun 23, 2017","1,812.57","1,808.11","1,814.19","1,805.93","0","0.25"
"Jun 22, 2017","1,808.11","1,807.95","1,813.07","1,806.23","0","0.01"
"Jun 21, 2017","1,807.95","1,809.69","1,814.29","1,804.94","0","-0.10"
"Jun 20, 2017","1,809.69","1,822.75","1,822.75","1,809.37","0","-0.72"
"Jun 19, 2017","1,822.75","1,807.93","1,823.06","1,807.93","0","0.82"
"Jun 16, 2017","1,807.93","1,807.82","1,807.94","1,800.21","0","0.01"
"Jun 15, 2017","1,807.82","1,812.63","1,812.63","1,798.28","0","-0.27"
"Jun 14, 2017","1,812.63","1,815.41","1,818.07","1,805.77","0","-0.15"
"Jun 13, 2017","1,815.41","1,806.46","1,815.97","1,806.46","0","0.50"
"Jun 12, 2017","1,806.46","1,808.06","1,808.06","1,799.59","0","-0.09"
"Jun 09, 2017","1,808.06","1,808.94","1,819.22","1,797.01","0","-0.05"
"Jun 08, 2017","1,808.94","1,806.10","1,812.21","1,803.16","0","0.16"
"Jun 07, 2017","1,806.10","1,803.68","1,807.91","1,800.25","0","0.13"
"Jun 06, 2017","1,803.68","1,808.67","1,809.04","1,801.79","0","-0.28"
"Jun 05, 2017","1,808.67","1,812.11","1,812.11","1,808.23","0","-0.19"
"Jun 02, 2017","1,812.08","1,805.22","1,813.50","1,803.64","0","0.38"
