Date,Open,High,Low,Close,Volume
21-Jul-17,45.45,45.56,45.32,45.56,429972
20-Jul-17,45.64,45.68,45.50,45.62,407638
19-Jul-17,45.51,45.64,45.46,45.62,359185
18-Jul-17,45.46,45.51,45.36,45.47,380520
17-Jul-17,45.54,45.58,45.50,45.54,379985
14-Jul-17,45.37,45.61,45.37,45.56,274158
13-Jul-17,45.29,45.32,45.20,45.30,421732
12-Jul-17,45.16,45.34,45.16,45.26,401159
11-Jul-17,45.00,45.02,44.75,44.96,397021
10-Jul-17,45.09,45.12,45.00,45.00,405527
7-Jul-17,44.97,45.15,44.94,45.10,414141
6-Jul-17,45.12,45.12,44.86,44.90,384215
5-Jul-17,45.25,45.26,45.11,45.24,459334
3-Jul-17,45.21,45.37,45.20,45.21,226803
30-Jun-17,45.13,45.25,45.02,45.10,348349
29-Jun-17,45.38,45.39,44.76,44.96,674103
28-Jun-17,45.38,45.51,45.33,45.43,370990
27-Jun-17,45.50,45.53,45.21,45.23,1130850
26-Jun-17,45.66,45.76,45.54,45.54,622358
23-Jun-17,45.48,45.62,45.42,45.58,357296
22-Jun-17,45.55,45.59,45.45,45.49,499664
21-Jun-17,45.76,45.76,45.48,45.54,414487
20-Jun-17,45.91,45.92,45.69,45.72,328577
19-Jun-17,45.87,45.97,45.76,45.97,511892
16-Jun-17,45.97,46.05,45.76,46.05,366768
15-Jun-17,45.77,46.01,45.70,45.97,463818
14-Jun-17,45.99,46.06,45.80,45.98,417472
13-Jun-17,45.84,45.94,45.76,45.92,425686
12-Jun-17,45.66,45.81,45.66,45.78,421713
9-Jun-17,45.64,45.73,45.46,45.70,456778
8-Jun-17,45.64,45.70,45.48,45.60,337870
7-Jun-17,45.69,45.72,45.50,45.63,293997
6-Jun-17,45.71,45.77,45.63,45.67,369339
5-Jun-17,45.76,45.84,45.71,45.80,415086
2-Jun-17,45.77,45.82,45.65,45.78,275053
1-Jun-17,45.50,45.70,45.40,45.70,558155
31-May-17,45.44,45.48,45.34,45.47,317399
30-May-17,45.19,45.36,45.14,45.34,320901
26-May-17,45.22,45.27,45.18,45.23,232407
25-May-17,45.11,45.30,45.01,45.25,399575
24-May-17,44.89,45.00,44.85,44.95,474240
23-May-17,44.91,44.94,44.82,44.86,316916
22-May-17,44.76,44.90,44.76,44.89,373966
19-May-17,44.43,44.74,44.37,44.66,337111
18-May-17,44.23,44.49,44.12,44.32,843544
17-May-17,44.58,44.67,44.24,44.27,1020266
16-May-17,44.84,44.88,44.74,44.82,341213
15-May-17,44.62,44.78,44.62,44.78,399255
12-May-17,44.57,44.62,44.52,44.54,313446
11-May-17,44.68,44.69,44.43,44.62,478792
10-May-17,44.76,44.82,44.72,44.81,369734
9-May-17,44.84,44.85,44.71,44.78,409046
8-May-17,44.80,44.86,44.76,44.82,1183204
5-May-17,44.72,44.87,44.63,44.87,299034
4-May-17,44.72,44.74,44.54,44.71,310959
3-May-17,44.64,44.69,44.49,44.67,457839
2-May-17,44.63,44.67,44.56,44.64,471225
1-May-17,44.75,44.75,44.57,44.62,381225
28-Apr-17,44.86,44.86,44.61,44.69,449694
27-Apr-17,44.93,44.95,44.76,44.90,356360
26-Apr-17,44.93,45.02,44.84,44.87,465619
25-Apr-17,44.87,45.01,44.84,44.97,484841
24-Apr-17,44.68,44.78,44.62,44.73,539146
21-Apr-17,44.29,44.39,44.22,44.34,391313
20-Apr-17,44.25,44.50,44.19,44.41,300542
19-Apr-17,44.41,44.44,44.13,44.19,456871
18-Apr-17,44.25,44.42,44.15,44.37,549497
17-Apr-17,44.18,44.38,44.16,44.38,480853
13-Apr-17,44.30,44.37,44.07,44.09,523874
12-Apr-17,44.45,44.49,44.30,44.36,453434
11-Apr-17,44.44,44.49,44.18,44.49,607797
10-Apr-17,44.50,44.64,44.37,44.48,470928
7-Apr-17,44.47,44.59,44.41,44.48,562471
6-Apr-17,44.48,44.58,44.40,44.46,433952
5-Apr-17,44.65,44.89,44.42,44.44,602798
4-Apr-17,44.44,44.56,44.37,44.56,1519536
3-Apr-17,44.60,44.63,44.30,44.45,766333
31-Mar-17,44.60,44.72,44.56,44.58,441419
30-Mar-17,44.54,44.70,44.48,44.62,519530
29-Mar-17,44.52,44.59,44.44,44.56,869788
28-Mar-17,44.28,44.63,44.21,44.57,860707
27-Mar-17,44.16,44.38,44.11,44.34,952709
24-Mar-17,44.55,44.57,44.25,44.38,536853
23-Mar-17,44.50,44.69,44.41,44.48,451268
22-Mar-17,44.51,44.58,44.33,44.54,1027597
21-Mar-17,44.97,45.00,44.46,44.50,693404
20-Mar-17,44.89,44.93,44.73,44.84,377352
17-Mar-17,45.21,45.36,45.20,45.22,552422
16-Mar-17,45.25,45.30,45.09,45.19,358525
15-Mar-17,44.94,45.33,44.90,45.23,482311
14-Mar-17,44.94,44.94,44.80,44.89,378919
13-Mar-17,45.05,45.09,44.92,45.03,366291
