Date,Open,High,Low,Close,Volume
21-Jul-17,32.51,32.53,32.39,32.53,1253140
20-Jul-17,32.57,32.66,32.54,32.64,1698700
19-Jul-17,32.42,32.50,32.41,32.50,1156793
18-Jul-17,32.31,32.35,32.27,32.35,1181084
17-Jul-17,32.33,32.37,32.28,32.32,1135954
14-Jul-17,32.24,32.39,32.22,32.37,1431271
13-Jul-17,32.10,32.15,32.03,32.14,1374850
12-Jul-17,31.94,32.09,31.94,32.04,1446456
11-Jul-17,31.63,31.77,31.57,31.77,1121951
10-Jul-17,31.61,31.71,31.57,31.69,1096112
7-Jul-17,31.54,31.64,31.46,31.63,1879759
6-Jul-17,31.57,31.66,31.50,31.58,2176413
5-Jul-17,31.68,31.74,31.56,31.74,2034061
3-Jul-17,31.76,31.83,31.73,31.73,1082799
30-Jun-17,31.85,31.85,31.61,31.78,1662893
29-Jun-17,31.98,31.98,31.61,31.76,1617978
28-Jun-17,31.91,32.07,31.88,32.05,1665504
27-Jun-17,31.81,31.86,31.73,31.80,7552841
26-Jun-17,31.92,31.94,31.76,31.78,1109050
23-Jun-17,31.64,31.75,31.59,31.72,1135491
22-Jun-17,31.62,31.69,31.57,31.64,1079670
21-Jun-17,31.60,31.65,31.52,31.59,3379166
20-Jun-17,31.83,31.83,31.59,31.64,1332724
19-Jun-17,31.90,31.96,31.89,31.92,1193711
16-Jun-17,31.65,31.78,31.60,31.78,842146
15-Jun-17,31.39,31.54,31.35,31.54,1483245
14-Jun-17,32.05,32.05,31.75,31.84,1097381
13-Jun-17,31.82,31.90,31.78,31.90,1195738
12-Jun-17,31.64,31.67,31.52,31.62,1095032
9-Jun-17,31.71,31.81,31.62,31.73,1155338
8-Jun-17,31.78,31.83,31.72,31.83,1271421
7-Jun-17,31.95,31.97,31.76,31.85,1082068
6-Jun-17,31.85,31.90,31.82,31.90,2040033
5-Jun-17,32.00,32.00,31.90,31.97,1067294
2-Jun-17,32.01,32.13,31.95,32.11,1226527
1-Jun-17,31.70,31.81,31.66,31.81,1142658
31-May-17,31.69,31.71,31.55,31.57,1399357
30-May-17,31.50,31.55,31.48,31.54,1013146
26-May-17,31.53,31.59,31.50,31.59,1040534
25-May-17,31.69,31.73,31.61,31.66,1888991
24-May-17,31.57,31.66,31.52,31.66,885056
23-May-17,31.70,31.70,31.58,31.62,1452151
22-May-17,31.62,31.67,31.58,31.63,1278161
19-May-17,31.41,31.57,31.39,31.56,1355741
18-May-17,31.04,31.21,31.01,31.20,1108403
17-May-17,31.37,31.38,31.12,31.13,1552457
16-May-17,31.50,31.53,31.47,31.52,1647137
15-May-17,31.28,31.35,31.26,31.35,1341485
12-May-17,31.05,31.17,31.03,31.17,1513581
11-May-17,30.98,31.02,30.90,31.02,1116767
10-May-17,31.07,31.10,31.01,31.10,1208294
9-May-17,31.11,31.11,30.99,31.05,1289191
8-May-17,31.14,31.14,31.06,31.12,1377358
5-May-17,30.98,31.28,30.96,31.28,1350337
4-May-17,30.82,30.95,30.78,30.95,1294153
3-May-17,30.72,30.77,30.65,30.74,1536519
2-May-17,30.74,30.83,30.70,30.83,1319819
1-May-17,30.64,30.70,30.58,30.65,1378703
28-Apr-17,30.56,30.57,30.51,30.51,1883317
27-Apr-17,30.60,30.60,30.48,30.56,1190033
26-Apr-17,30.57,30.65,30.54,30.55,1250130
25-Apr-17,30.59,30.67,30.55,30.64,1977837
24-Apr-17,30.40,30.46,30.35,30.46,3512848
21-Apr-17,29.73,29.76,29.68,29.76,1330155
20-Apr-17,29.72,29.79,29.70,29.73,1522437
19-Apr-17,29.64,29.65,29.45,29.48,1037665
18-Apr-17,29.56,29.61,29.46,29.60,2056288
17-Apr-17,29.73,29.80,29.69,29.79,1503920
13-Apr-17,29.65,29.67,29.54,29.57,1251623
12-Apr-17,29.73,29.77,29.63,29.76,1993430
11-Apr-17,29.75,29.78,29.56,29.78,1803766
10-Apr-17,29.64,29.68,29.60,29.65,6262638
7-Apr-17,29.65,29.72,29.63,29.68,5420958
6-Apr-17,29.68,29.74,29.64,29.68,1656773
5-Apr-17,29.83,29.90,29.68,29.69,1588519
4-Apr-17,29.73,29.85,29.67,29.85,2035502
3-Apr-17,29.83,29.87,29.63,29.86,2789599
31-Mar-17,29.82,29.93,29.79,29.87,1818433
30-Mar-17,29.97,30.03,29.91,29.94,1241955
29-Mar-17,29.91,30.05,29.89,30.03,1604994
28-Mar-17,29.94,30.06,29.91,30.02,1530749
27-Mar-17,29.79,29.92,29.72,29.91,1029135
24-Mar-17,29.80,29.86,29.76,29.81,1418637
23-Mar-17,29.63,29.80,29.61,29.73,1356704
22-Mar-17,29.55,29.68,29.50,29.65,1333779
21-Mar-17,30.00,30.04,29.62,29.63,1923423
20-Mar-17,29.85,29.89,29.74,29.79,1692522
17-Mar-17,29.84,29.88,29.76,29.82,1418303
16-Mar-17,29.81,29.82,29.72,29.78,1726935
15-Mar-17,29.28,29.65,29.26,29.64,1591990
14-Mar-17,29.20,29.24,29.16,29.20,1589683
13-Mar-17,29.36,29.42,29.35,29.41,1512742
10-Mar-17,29.24,29.30,29.18,29.28,1108081
9-Mar-17,29.01,29.05,28.95,29.04,1475906
8-Mar-17,29.04,29.09,28.92,28.94,1518860
7-Mar-17,29.07,29.12,29.01,29.07,1165117
6-Mar-17,29.15,29.16,29.08,29.15,1669270
3-Mar-17,29.13,29.26,29.08,29.23,1214857
2-Mar-17,29.17,29.19,29.08,29.10,1873586
1-Mar-17,29.18,29.34,29.16,29.28,1663805
28-Feb-17,29.03,29.10,28.94,28.97,1755525
27-Feb-17,28.99,29.07,28.95,29.06,1568152
24-Feb-17,29.00,29.09,28.97,29.06,1365622
23-Feb-17,29.34,29.35,29.24,29.28,1644809
22-Feb-17,29.13,29.25,29.10,29.25,1352295
21-Feb-17,29.13,29.25,29.11,29.24,1622606
17-Feb-17,29.04,29.14,29.02,29.13,1756341
16-Feb-17,29.16,29.22,29.12,29.22,1820033
15-Feb-17,28.93,29.16,28.91,29.16,1227167
14-Feb-17,29.00,29.04,28.86,29.03,1484238
13-Feb-17,29.07,29.10,29.01,29.06,1121483
10-Feb-17,28.85,28.97,28.83,28.95,1436456
9-Feb-17,28.80,28.87,28.76,28.86,1409248
8-Feb-17,28.68,28.77,28.62,28.76,1430089
7-Feb-17,28.67,28.70,28.64,28.68,3013279
6-Feb-17,28.68,28.74,28.63,28.74,2080631
3-Feb-17,28.87,28.96,28.83,28.94,1732059
2-Feb-17,28.84,28.85,28.74,28.80,1408394
1-Feb-17,28.85,28.86,28.70,28.80,2281662
31-Jan-17,28.67,28.72,28.57,28.69,1696570
30-Jan-17,28.59,28.62,28.49,28.61,1889757
27-Jan-17,28.85,28.87,28.76,28.81,1550761
26-Jan-17,28.94,28.96,28.84,28.87,2221088
25-Jan-17,28.85,28.98,28.82,28.98,1534491
24-Jan-17,28.56,28.71,28.54,28.68,1589095
23-Jan-17,28.50,28.59,28.42,28.57,1391992
20-Jan-17,28.44,28.51,28.42,28.51,1943038
19-Jan-17,28.39,28.42,28.28,28.36,1417637
18-Jan-17,28.47,28.51,28.35,28.40,1435214
17-Jan-17,28.58,28.58,28.50,28.54,1664179
13-Jan-17,28.55,28.63,28.51,28.61,1085110
12-Jan-17,28.55,28.55,28.40,28.52,1683571
11-Jan-17,28.26,28.49,28.22,28.48,1389328
10-Jan-17,28.29,28.38,28.27,28.29,1216853
9-Jan-17,28.25,28.31,28.19,28.28,1531679
6-Jan-17,28.34,28.37,28.29,28.33,2444213
5-Jan-17,28.28,28.47,28.27,28.44,1748281
4-Jan-17,28.04,28.20,28.02,28.19,3888308
3-Jan-17,27.82,27.88,27.77,27.88,2407724
30-Dec-16,27.80,27.84,27.64,27.68,2631661
29-Dec-16,27.60,27.68,27.56,27.62,3108706
28-Dec-16,27.65,27.65,27.51,27.55,2582699
27-Dec-16,27.68,27.70,27.65,27.67,3672040
23-Dec-16,27.64,27.68,27.63,27.66,1630480
22-Dec-16,27.65,27.69,27.61,27.63,2106381
21-Dec-16,27.70,27.72,27.66,27.69,2932252
20-Dec-16,27.62,27.71,27.62,27.71,1893909
19-Dec-16,27.67,27.76,27.60,27.61,2486368
16-Dec-16,28.35,28.42,28.30,28.35,1690645
15-Dec-16,28.31,28.38,28.27,28.36,1698823
14-Dec-16,28.80,28.84,28.35,28.39,1724058
13-Dec-16,28.77,28.90,28.77,28.84,2096128
12-Dec-16,28.61,28.65,28.51,28.56,1804660
9-Dec-16,28.55,28.66,28.53,28.65,1458576
8-Dec-16,28.50,28.58,28.44,28.54,2706869
7-Dec-16,28.23,28.58,28.22,28.54,1494239
6-Dec-16,28.00,28.17,27.97,28.12,2254398
5-Dec-16,27.85,28.01,27.83,27.96,2262235
2-Dec-16,27.60,27.77,27.58,27.72,2407200
1-Dec-16,27.71,27.74,27.62,27.65,4522422
30-Nov-16,27.86,27.86,27.69,27.72,1996914
29-Nov-16,27.62,27.82,27.58,27.77,1741558
28-Nov-16,27.67,27.70,27.58,27.62,1652417
25-Nov-16,27.72,27.73,27.68,27.72,521935
23-Nov-16,27.49,27.64,27.45,27.64,1200361
22-Nov-16,27.71,27.75,27.62,27.75,1245330
