Date,Open,High,Low,Close,Volume
21-Jul-17,55.24,55.25,55.17,55.21,187659
20-Jul-17,55.37,55.40,55.11,55.12,1099902
19-Jul-17,55.23,55.28,55.20,55.27,583238
18-Jul-17,55.21,55.28,55.16,55.23,130549
17-Jul-17,54.98,55.10,54.96,55.07,166408
14-Jul-17,55.05,55.05,54.91,54.97,126957
13-Jul-17,54.93,54.97,54.87,54.91,97688
12-Jul-17,55.01,55.03,54.91,54.96,357601
11-Jul-17,54.62,54.80,54.62,54.80,108925
10-Jul-17,54.70,54.74,54.63,54.64,527690
7-Jul-17,54.76,54.76,54.63,54.66,177258
6-Jul-17,54.91,54.92,54.80,54.86,114854
5-Jul-17,54.93,55.04,54.90,54.96,201743
3-Jul-17,54.96,55.00,54.86,54.94,102786
30-Jun-17,55.20,55.22,55.02,55.06,225635
29-Jun-17,55.20,55.25,55.15,55.19,182814
28-Jun-17,55.35,55.43,55.26,55.40,150551
27-Jun-17,55.50,55.54,55.31,55.33,104245
26-Jun-17,55.54,55.60,55.53,55.58,126937
23-Jun-17,55.45,55.51,55.40,55.47,169820
22-Jun-17,55.29,55.46,55.26,55.45,137023
21-Jun-17,55.22,55.30,55.21,55.25,588754
20-Jun-17,55.13,55.25,55.13,55.22,103465
19-Jun-17,55.25,55.26,55.12,55.14,104317
16-Jun-17,55.19,55.24,55.17,55.23,126448
15-Jun-17,55.20,55.27,55.14,55.20,231974
14-Jun-17,55.47,55.58,55.36,55.44,165764
13-Jun-17,55.29,55.42,55.29,55.42,120331
12-Jun-17,55.45,55.49,55.33,55.36,130066
9-Jun-17,55.44,55.50,55.43,55.43,93153
8-Jun-17,55.50,55.56,55.42,55.52,126157
7-Jun-17,55.61,55.68,55.52,55.53,166542
6-Jun-17,55.75,55.76,55.65,55.72,126845
5-Jun-17,55.57,55.66,55.57,55.62,143920
2-Jun-17,55.66,55.78,55.64,55.74,116764
1-Jun-17,55.48,55.60,55.48,55.58,130119
31-May-17,55.58,55.69,55.56,55.66,141065
30-May-17,55.56,55.64,55.51,55.62,137908
26-May-17,55.46,55.51,55.42,55.50,99457
25-May-17,55.44,55.46,55.35,55.40,189184
24-May-17,55.41,55.46,55.31,55.44,320217
23-May-17,55.58,55.59,55.40,55.43,114393
22-May-17,55.56,55.58,55.47,55.53,135691
19-May-17,55.52,55.59,55.46,55.59,121181
18-May-17,55.45,55.53,55.33,55.50,265691
17-May-17,55.32,55.48,55.25,55.46,202780
16-May-17,55.06,55.16,55.06,55.15,175080
15-May-17,55.20,55.24,55.07,55.12,117070
12-May-17,55.14,55.26,55.11,55.21,125086
11-May-17,55.01,55.19,54.97,55.18,111127
10-May-17,55.09,55.09,54.93,55.01,231419
9-May-17,54.94,55.01,54.89,54.98,165251
8-May-17,55.13,55.14,54.95,55.02,178945
5-May-17,55.13,55.19,55.07,55.18,183618
4-May-17,55.17,55.18,55.02,55.14,177668
3-May-17,55.42,55.51,55.30,55.35,227398
2-May-17,55.49,55.55,55.44,55.49,137804
1-May-17,55.62,55.73,55.50,55.54,180793
28-Apr-17,55.65,55.79,55.64,55.70,164004
27-Apr-17,55.66,55.70,55.58,55.65,170080
26-Apr-17,55.55,55.68,55.55,55.64,165581
25-Apr-17,55.61,55.64,55.50,55.54,463516
24-Apr-17,55.60,55.67,55.58,55.65,198581
21-Apr-17,55.72,55.74,55.62,55.65,165323
20-Apr-17,55.72,55.76,55.64,55.70,361455
19-Apr-17,55.84,55.84,55.72,55.75,158257
18-Apr-17,55.84,55.92,55.78,55.91,226562
17-Apr-17,55.82,55.87,55.67,55.74,213569
13-Apr-17,55.94,55.97,55.82,55.88,232209
12-Apr-17,55.69,55.85,55.62,55.80,352872
11-Apr-17,55.57,55.70,55.50,55.59,162627
10-Apr-17,55.54,55.61,55.45,55.49,207589
7-Apr-17,55.68,55.74,55.42,55.42,209803
6-Apr-17,55.69,55.70,55.55,55.65,239677
5-Apr-17,55.58,55.75,55.55,55.70,181252
4-Apr-17,55.64,55.68,55.53,55.53,170648
3-Apr-17,55.54,55.72,55.53,55.68,1378534
31-Mar-17,55.42,55.54,55.39,55.53,136115
30-Mar-17,55.53,55.53,55.37,55.39,175676
29-Mar-17,55.48,55.58,55.41,55.56,213650
28-Mar-17,55.60,55.63,55.34,55.39,197066
27-Mar-17,55.59,55.65,55.50,55.56,171902
24-Mar-17,55.32,55.54,55.27,55.40,194130
23-Mar-17,55.37,55.39,55.23,55.33,195479
22-Mar-17,55.31,55.42,55.26,55.37,348038
21-Mar-17,55.25,55.36,55.25,55.29,231190
20-Mar-17,55.13,55.24,55.11,55.23,151371
17-Mar-17,55.08,55.15,55.08,55.13,132093
16-Mar-17,55.08,55.12,55.00,55.03,178478
15-Mar-17,54.75,55.10,54.70,55.08,179716
14-Mar-17,54.61,54.66,54.58,54.61,171468
13-Mar-17,54.70,54.77,54.62,54.64,429408
10-Mar-17,54.76,54.83,54.60,54.71,269168
9-Mar-17,54.73,54.76,54.59,54.66,372927
8-Mar-17,54.93,54.96,54.74,54.78,361826
7-Mar-17,55.08,55.10,55.00,55.06,365704
6-Mar-17,55.20,55.20,55.08,55.13,326579
3-Mar-17,55.08,55.21,54.95,55.21,184759
