Date,Open,High,Low,Close,Volume
16-Aug-17,121.41,121.91,121.20,121.33,363893
15-Aug-17,122.14,122.28,121.05,121.14,283556
14-Aug-17,121.23,122.10,120.58,121.87,210109
11-Aug-17,120.34,120.64,119.93,120.47,276291
10-Aug-17,122.00,122.00,120.43,120.49,554789
9-Aug-17,122.72,122.98,122.03,122.33,296040
8-Aug-17,123.63,124.59,123.09,123.30,270450
7-Aug-17,123.79,124.06,123.26,123.73,177255
4-Aug-17,123.37,123.77,123.23,123.73,191811
3-Aug-17,123.62,123.99,122.82,123.08,213299
2-Aug-17,124.30,124.46,123.15,123.60,307704
1-Aug-17,124.64,124.64,123.87,124.46,207837
31-Jul-17,0,0,0,124.16,275022
28-Jul-17,124.42,124.58,123.84,124.31,160400
27-Jul-17,125.15,125.16,124.11,124.74,190800
26-Jul-17,126.05,126.07,124.90,125.00,189233
25-Jul-17,125.48,126.20,125.38,125.98,203298
24-Jul-17,124.76,124.85,124.38,124.82,188774
21-Jul-17,125.22,125.34,124.39,124.82,275618
20-Jul-17,125.29,125.56,124.92,125.35,398726
19-Jul-17,124.24,125.27,124.20,125.27,262353
18-Jul-17,124.11,124.24,123.50,124.00,183077
17-Jul-17,124.13,124.66,123.75,124.41,205834
14-Jul-17,123.73,124.48,123.71,124.09,222732
13-Jul-17,123.44,123.79,123.02,123.74,171277
12-Jul-17,123.16,124.10,123.05,123.40,282924
11-Jul-17,122.45,122.71,121.64,122.52,168799
10-Jul-17,122.40,123.09,122.26,122.40,212064
7-Jul-17,122.18,122.90,121.75,122.86,351897
6-Jul-17,122.84,123.02,121.67,121.89,363182
5-Jul-17,123.91,123.97,122.83,123.41,386559
3-Jul-17,123.43,124.47,123.22,124.13,172637
30-Jun-17,123.20,123.43,122.66,122.91,299450
29-Jun-17,123.74,123.88,121.73,122.85,326226
28-Jun-17,122.49,123.81,122.49,123.44,315327
27-Jun-17,123.03,123.49,122.31,122.37,398716
26-Jun-17,122.68,123.36,122.29,123.03,264136
23-Jun-17,121.81,122.48,121.51,122.40,246376
22-Jun-17,121.54,122.10,121.15,121.74,241603
21-Jun-17,122.74,122.76,121.38,121.51,305090
20-Jun-17,123.49,123.52,122.42,122.42,307676
19-Jun-17,123.56,124.10,123.35,123.88,534417
16-Jun-17,123.13,123.21,122.54,123.21,192729
15-Jun-17,122.97,123.90,122.91,123.51,178659
