Date,Open,High,Low,Close,Volume
23-Aug-17,88.10,88.26,88.05,88.26,1512136
22-Aug-17,87.97,88.07,87.93,87.98,666577
21-Aug-17,88.12,88.20,88.01,88.06,987305
18-Aug-17,88.14,88.20,87.93,88.01,1156994
17-Aug-17,87.88,88.11,87.87,88.06,1109592
16-Aug-17,87.68,88.03,87.66,88.01,1686951
15-Aug-17,87.64,87.75,87.63,87.70,729450
14-Aug-17,87.85,87.92,87.75,87.86,1319066
11-Aug-17,87.76,87.93,87.74,87.90,874950
10-Aug-17,87.82,87.87,87.70,87.79,1821025
9-Aug-17,87.95,88.02,87.78,87.80,969635
8-Aug-17,87.94,87.97,87.76,87.80,1908313
7-Aug-17,87.98,88.00,87.88,87.98,646463
4-Aug-17,87.96,88.00,87.76,87.91,769074
3-Aug-17,88.08,88.17,88.03,88.11,2750077
2-Aug-17,88.05,88.15,87.98,88.01,735890
1-Aug-17,87.83,88.13,87.83,88.09,593611
31-Jul-17,88.05,88.13,88.01,88.13,638622
28-Jul-17,87.97,88.12,87.96,88.11,874277
27-Jul-17,88.04,88.04,87.88,87.95,896356
26-Jul-17,87.85,88.21,87.80,88.09,1297617
25-Jul-17,87.92,87.94,87.73,87.76,1446884
24-Jul-17,88.22,88.22,88.04,88.12,1176667
21-Jul-17,88.13,88.23,88.10,88.21,1227406
20-Jul-17,88.09,88.12,87.97,88.02,1189083
19-Jul-17,88.04,88.08,87.91,87.94,1175953
18-Jul-17,87.85,88.02,87.85,88.00,810407
17-Jul-17,87.70,87.77,87.64,87.72,1023898
14-Jul-17,87.80,87.80,87.60,87.70,1200162
13-Jul-17,87.50,87.54,87.40,87.51,855776
12-Jul-17,87.60,87.65,87.48,87.58,647689
11-Jul-17,87.20,87.35,87.16,87.32,626818
10-Jul-17,87.17,87.24,87.11,87.20,741937
7-Jul-17,87.14,87.14,87.03,87.09,865954
6-Jul-17,87.12,87.18,86.97,87.18,1183455
5-Jul-17,87.13,87.28,87.12,87.22,1298923
3-Jul-17,87.40,87.41,87.08,87.14,486373
30-Jun-17,87.72,87.72,87.52,87.53,840116
29-Jun-17,87.52,87.70,87.51,87.64,3204957
28-Jun-17,87.84,87.91,87.70,87.85,804513
27-Jun-17,87.94,87.98,87.76,87.83,821084
26-Jun-17,88.16,88.22,88.09,88.12,1434094
23-Jun-17,87.99,88.05,87.96,88.04,1362308
22-Jun-17,87.99,88.03,87.88,88.02,660456
21-Jun-17,87.91,87.97,87.86,87.92,1487432
20-Jun-17,87.85,88.01,87.83,87.98,1047198
19-Jun-17,87.92,88.00,87.79,87.79,836650
16-Jun-17,87.93,88.06,87.90,88.00,3347345
15-Jun-17,87.91,87.98,87.84,87.93,1212029
14-Jun-17,88.13,88.30,88.00,88.11,969143
13-Jun-17,87.62,87.74,87.59,87.73,630655
12-Jun-17,87.58,87.77,87.53,87.65,661844
9-Jun-17,87.54,87.71,87.54,87.59,841162
8-Jun-17,87.75,87.84,87.60,87.70,721623
7-Jun-17,87.90,87.95,87.75,87.83,579610
6-Jun-17,87.97,88.03,87.90,87.94,527658
5-Jun-17,87.76,87.87,87.71,87.78,962351
2-Jun-17,87.78,87.98,87.71,87.83,857132
1-Jun-17,87.40,87.62,87.38,87.58,960397
