Date,Open,High,Low,Close,Volume
21-Jul-17,93.48,93.70,93.34,93.70,344372
20-Jul-17,93.73,93.74,93.33,93.68,421028
19-Jul-17,93.42,93.63,93.33,93.63,562475
18-Jul-17,93.25,93.38,93.04,93.36,535951
17-Jul-17,93.29,93.57,93.28,93.42,471550
14-Jul-17,93.16,93.64,93.10,93.49,472782
13-Jul-17,93.10,93.14,92.82,93.03,413745
12-Jul-17,92.76,93.19,92.74,93.01,646799
11-Jul-17,92.53,92.58,91.98,92.37,398071
10-Jul-17,92.82,92.83,92.58,92.61,381434
7-Jul-17,92.42,92.93,92.33,92.84,393333
6-Jul-17,92.75,92.75,92.11,92.19,475786
5-Jul-17,92.95,93.07,92.75,92.94,477561
3-Jul-17,92.99,93.25,92.86,92.88,278657
30-Jun-17,92.46,92.97,92.45,92.67,456291
29-Jun-17,93.04,93.06,91.61,92.09,529732
28-Jun-17,92.63,93.08,92.56,92.91,658493
27-Jun-17,92.80,92.85,92.24,92.24,846243
26-Jun-17,92.99,93.15,92.79,92.83,535132
23-Jun-17,92.60,92.84,92.41,92.67,443226
22-Jun-17,92.82,92.86,92.50,92.54,484410
21-Jun-17,93.28,93.30,92.82,92.91,558377
20-Jun-17,94.36,94.37,93.65,93.69,601514
19-Jun-17,94.11,94.42,93.97,94.39,483472
16-Jun-17,94.05,94.05,93.27,93.85,570856
15-Jun-17,93.84,94.28,93.65,94.21,529408
14-Jun-17,94.45,94.53,94.04,94.40,420390
13-Jun-17,93.91,94.30,93.81,94.29,1150384
12-Jun-17,93.71,93.83,93.50,93.82,467211
9-Jun-17,93.64,93.93,93.28,93.75,481611
8-Jun-17,93.54,93.76,93.35,93.57,359050
7-Jun-17,93.50,93.60,93.24,93.52,372406
6-Jun-17,93.65,93.80,93.34,93.39,763666
5-Jun-17,94.09,94.15,93.90,93.92,415934
2-Jun-17,93.78,94.22,93.69,94.09,616071
1-Jun-17,93.14,93.67,92.99,93.67,614844
31-May-17,92.79,92.99,92.60,92.93,403575
30-May-17,92.41,92.69,92.32,92.60,568084
26-May-17,92.46,92.60,92.37,92.51,503324
25-May-17,91.94,92.55,91.84,92.40,499113
24-May-17,91.60,91.72,91.47,91.67,540410
23-May-17,91.57,91.72,91.42,91.61,441819
22-May-17,91.06,91.53,91.05,91.45,778567
19-May-17,90.48,91.09,90.41,90.82,434084
18-May-17,90.04,90.73,89.90,90.30,841469
17-May-17,90.81,90.98,90.11,90.15,993469
16-May-17,91.59,91.69,91.23,91.45,475470
15-May-17,91.21,91.62,91.20,91.55,435044
12-May-17,91.27,91.35,91.03,91.12,397963
11-May-17,91.25,91.40,90.84,91.38,529141
10-May-17,91.41,91.55,91.30,91.51,454941
9-May-17,91.59,91.66,91.31,91.49,545629
8-May-17,91.83,91.86,91.44,91.50,1428536
5-May-17,91.68,91.84,91.44,91.84,520977
4-May-17,91.27,91.56,91.16,91.56,577620
3-May-17,91.19,91.19,90.79,91.06,769883
2-May-17,91.44,91.47,91.11,91.25,568274
1-May-17,91.62,91.68,91.21,91.37,605618
28-Apr-17,91.91,91.91,91.36,91.49,568394
27-Apr-17,91.71,92.00,91.63,91.87,452254
26-Apr-17,91.54,91.89,91.47,91.54,525698
25-Apr-17,91.30,91.64,91.21,91.49,601690
24-Apr-17,91.05,91.19,90.88,91.09,630036
21-Apr-17,90.04,90.22,89.91,90.10,614206
20-Apr-17,89.57,90.27,89.54,90.09,501188
19-Apr-17,89.56,89.63,89.17,89.28,507899
18-Apr-17,89.13,89.38,89.00,89.29,575128
17-Apr-17,88.95,89.51,88.82,89.51,514071
13-Apr-17,89.07,89.32,88.73,88.73,586796
12-Apr-17,89.54,89.57,89.15,89.24,538081
11-Apr-17,89.48,89.66,89.05,89.66,625120
10-Apr-17,89.65,89.94,89.37,89.66,536792
7-Apr-17,89.51,89.82,89.35,89.55,1944037
6-Apr-17,89.30,89.70,89.22,89.47,624860
5-Apr-17,89.86,90.25,89.21,89.30,762921
4-Apr-17,89.58,89.69,89.42,89.65,729051
3-Apr-17,90.00,90.11,89.26,89.65,606733
31-Mar-17,90.01,90.25,89.86,89.94,527041
30-Mar-17,90.09,90.24,89.82,90.11,568318
29-Mar-17,89.94,90.03,89.68,89.95,565599
28-Mar-17,89.78,90.63,89.67,90.41,992114
27-Mar-17,89.46,90.02,89.30,89.92,914960
24-Mar-17,90.32,90.52,89.75,90.02,962130
23-Mar-17,90.26,90.71,90.05,90.20,706352
22-Mar-17,90.20,90.45,89.90,90.39,1339302
21-Mar-17,91.31,91.42,90.12,90.20,897512
20-Mar-17,91.44,91.44,91.01,91.12,529630
17-Mar-17,91.35,91.62,91.22,91.44,708385
16-Mar-17,91.48,91.52,90.97,91.16,803068
15-Mar-17,90.87,91.65,90.82,91.49,628622
14-Mar-17,90.79,90.86,90.52,90.70,574926
13-Mar-17,90.89,90.98,90.67,90.97,489588
10-Mar-17,90.88,90.96,90.51,90.87,813153
9-Mar-17,90.56,90.65,90.24,90.47,590935
8-Mar-17,90.64,90.83,90.45,90.50,1869285
7-Mar-17,90.60,90.84,90.40,90.58,780325
6-Mar-17,90.61,90.87,90.55,90.73,888527
3-Mar-17,91.06,91.09,90.70,90.97,618968
2-Mar-17,91.41,91.45,91.11,91.16,675312
1-Mar-17,91.03,91.68,91.00,91.49,1085759
28-Feb-17,90.51,90.59,90.32,90.43,616271
27-Feb-17,90.68,90.81,90.54,90.77,693181
24-Feb-17,90.18,90.79,90.15,90.78,645206
23-Feb-17,90.51,90.58,90.19,90.43,615238
22-Feb-17,90.14,90.35,90.08,90.31,759819
21-Feb-17,89.84,90.37,89.83,90.26,1038387
17-Feb-17,89.22,89.77,89.22,89.77,595233
16-Feb-17,89.21,89.44,89.01,89.43,845111
15-Feb-17,88.62,89.27,88.50,89.20,705246
14-Feb-17,88.33,88.71,88.24,88.71,677752
13-Feb-17,88.32,88.55,88.24,88.46,715243
10-Feb-17,87.70,88.16,87.65,88.06,703205
9-Feb-17,87.31,87.75,87.18,87.61,637744
8-Feb-17,87.01,87.20,86.91,87.15,597316
7-Feb-17,87.00,87.12,86.86,87.02,711312
6-Feb-17,86.87,86.99,86.69,86.80,689657
3-Feb-17,86.65,87.01,86.61,86.95,585449
2-Feb-17,86.16,86.47,86.02,86.34,684757
1-Feb-17,86.47,86.64,86.03,86.23,724108
31-Jan-17,86.53,86.69,86.27,86.68,820132
30-Jan-17,86.78,86.83,86.36,86.73,1028623
27-Jan-17,87.05,87.14,86.92,87.03,614468
26-Jan-17,87.10,87.19,86.89,86.98,931717
25-Jan-17,87.03,87.21,86.87,87.17,820992
24-Jan-17,86.26,86.85,86.20,86.72,759993
23-Jan-17,86.18,86.30,85.88,86.20,703126
20-Jan-17,86.29,86.59,85.94,86.25,887099
19-Jan-17,86.39,86.49,85.86,86.09,662407
18-Jan-17,86.20,86.29,85.99,86.22,727961
17-Jan-17,85.83,86.24,85.81,86.12,832809
13-Jan-17,85.84,86.02,85.84,85.96,784266
12-Jan-17,85.83,85.92,85.30,85.83,2779795
11-Jan-17,85.73,85.99,85.52,85.96,807617
10-Jan-17,85.73,86.07,85.61,85.76,597098
9-Jan-17,86.09,86.15,85.72,85.73,791692
6-Jan-17,85.75,86.31,85.47,86.15,711654
5-Jan-17,85.74,85.83,85.58,85.72,682403
4-Jan-17,85.63,85.96,85.55,85.85,782047
3-Jan-17,85.55,85.67,85.11,85.47,1019560
30-Dec-16,85.65,85.73,84.93,85.18,1032638
29-Dec-16,85.44,85.63,85.35,85.52,957867
28-Dec-16,86.10,86.13,85.32,85.35,848843
27-Dec-16,85.88,86.19,85.87,85.97,617028
23-Dec-16,85.84,85.88,85.73,85.84,617291
22-Dec-16,86.05,86.05,85.70,85.86,730230
21-Dec-16,86.90,86.90,86.61,86.61,697557
20-Dec-16,86.92,86.96,86.72,86.92,2103286
19-Dec-16,86.52,86.87,86.52,86.77,801139
16-Dec-16,86.69,86.84,86.34,86.43,814437
15-Dec-16,86.36,86.85,86.13,86.50,929443
14-Dec-16,87.18,87.39,86.16,86.28,991709
13-Dec-16,87.07,87.34,86.98,87.18,1039524
12-Dec-16,86.64,86.86,86.53,86.82,872853
9-Dec-16,86.27,86.78,86.24,86.78,633674
8-Dec-16,86.26,86.38,86.02,86.17,814938
7-Dec-16,85.18,86.27,85.06,86.24,970884
6-Dec-16,85.14,85.20,84.88,85.18,567760
5-Dec-16,85.00,85.18,84.88,85.05,625540
2-Dec-16,84.65,84.87,84.55,84.70,863001
1-Dec-16,84.90,84.93,84.32,84.52,754377
30-Nov-16,85.43,85.43,84.76,84.76,905745
29-Nov-16,85.15,85.45,85.04,85.30,930924
28-Nov-16,85.20,85.30,84.96,85.05,644691
25-Nov-16,85.02,85.29,84.99,85.29,367918
23-Nov-16,84.61,84.91,84.61,84.84,1090602
22-Nov-16,84.71,84.85,84.48,84.78,811511
21-Nov-16,84.45,84.73,84.41,84.71,737652
18-Nov-16,84.35,84.40,84.12,84.27,1090257
17-Nov-16,84.13,84.39,83.94,84.36,533312
16-Nov-16,83.96,84.14,83.85,84.06,608373
15-Nov-16,83.88,84.03,83.56,84.02,729806
14-Nov-16,83.84,83.90,83.52,83.72,1038276
11-Nov-16,83.46,83.71,83.22,83.62,666986
10-Nov-16,83.89,84.00,83.25,83.66,1095612
9-Nov-16,82.00,83.86,82.00,83.62,1465381
8-Nov-16,82.35,83.23,82.34,82.97,4635170
7-Nov-16,82.23,82.80,82.20,82.78,1172455
4-Nov-16,81.50,81.76,81.24,81.28,722393
3-Nov-16,81.76,81.90,81.24,81.41,1022019
2-Nov-16,81.61,82.04,81.60,81.69,603657
1-Nov-16,82.47,82.47,81.33,81.73,980198
31-Oct-16,82.24,82.49,82.13,82.31,704568
28-Oct-16,82.15,82.57,81.81,82.13,661774
27-Oct-16,82.72,82.73,82.06,82.13,667456
26-Oct-16,82.38,82.78,82.28,82.49,844627
25-Oct-16,82.66,82.69,82.42,82.55,584330
24-Oct-16,82.62,82.89,82.62,82.73,580772
21-Oct-16,82.09,82.39,81.83,82.30,444716
20-Oct-16,82.09,82.29,81.77,82.02,502661
19-Oct-16,82.21,82.25,81.91,82.12,524312
18-Oct-16,82.52,82.68,82.14,82.20,470704
17-Oct-16,82.33,82.41,82.03,82.07,586142
14-Oct-16,82.60,82.85,82.32,82.32,510887
13-Oct-16,82.08,82.59,81.70,82.34,724717
12-Oct-16,82.20,82.63,82.06,82.45,587755
11-Oct-16,82.99,83.06,81.79,82.11,719906
10-Oct-16,83.21,83.52,83.11,83.14,976104
7-Oct-16,83.34,83.43,82.60,82.96,597216
6-Oct-16,83.11,83.36,82.86,83.32,720740
5-Oct-16,83.23,83.40,83.10,83.19,565837
4-Oct-16,83.75,83.78,82.81,83.06,1018738
3-Oct-16,83.74,83.78,83.45,83.64,630517
30-Sep-16,83.69,84.20,83.59,83.93,557942
29-Sep-16,84.00,84.11,83.19,83.31,674207
28-Sep-16,84.00,84.03,83.54,84.00,561698
27-Sep-16,83.35,83.95,83.25,83.89,537081
26-Sep-16,83.70,83.70,83.24,83.32,998846
23-Sep-16,84.26,84.28,83.97,83.97,418891
22-Sep-16,84.36,84.60,84.30,84.48,667080
21-Sep-16,83.29,84.04,83.01,83.97,723773
20-Sep-16,83.26,83.41,82.97,82.99,629497
19-Sep-16,83.01,83.37,82.78,82.90,907738
16-Sep-16,82.87,82.87,82.39,82.73,598094
15-Sep-16,82.24,83.17,82.12,83.02,698118
14-Sep-16,82.58,82.85,82.10,82.33,949650
13-Sep-16,83.13,83.21,82.32,82.51,1071666
12-Sep-16,82.65,84.15,82.60,84.00,1136669
9-Sep-16,84.55,84.55,82.88,82.88,1067107
8-Sep-16,85.25,85.29,84.89,85.00,786456
7-Sep-16,85.56,85.63,85.19,85.40,531068
6-Sep-16,85.75,85.89,85.33,85.68,497674
2-Sep-16,85.48,85.79,85.37,85.65,863556
1-Sep-16,85.10,85.24,84.67,85.20,689041
31-Aug-16,85.25,85.25,84.84,85.16,555142
30-Aug-16,85.57,85.70,85.11,85.30,478271
29-Aug-16,85.28,85.66,85.25,85.58,553771
26-Aug-16,85.54,85.88,84.83,85.14,768059
25-Aug-16,85.45,85.68,85.32,85.39,585582
24-Aug-16,85.76,85.80,85.42,85.57,504523
23-Aug-16,86.03,86.21,85.86,85.86,493934
22-Aug-16,85.72,85.90,85.53,85.76,590132
