Date,Open,High,Low,Close,Volume
16-Aug-17,103.77,104.00,103.60,103.77,174057
15-Aug-17,103.89,103.89,103.37,103.45,191102
14-Aug-17,103.40,104.04,103.40,103.75,214820
11-Aug-17,102.64,103.12,102.55,102.77,177793
10-Aug-17,103.88,103.95,102.78,102.81,210940
9-Aug-17,104.21,104.29,103.87,104.18,323112
8-Aug-17,104.75,105.34,104.39,104.54,190762
7-Aug-17,104.79,104.93,104.62,104.83,169062
4-Aug-17,104.78,104.80,104.50,104.59,142564
3-Aug-17,104.72,104.98,104.44,104.57,179157
2-Aug-17,104.97,105.00,104.38,104.79,346457
1-Aug-17,104.96,104.99,104.53,104.99,192121
31-Jul-17,0,0,0,104.61,279930
28-Jul-17,104.43,104.63,104.21,104.52,116806
27-Jul-17,105.04,105.04,104.22,104.75,194697
26-Jul-17,105.34,105.34,104.79,104.91,147105
25-Jul-17,105.12,105.54,104.96,105.29,186045
24-Jul-17,104.84,104.89,104.68,104.78,170040
21-Jul-17,104.59,104.89,104.46,104.85,160669
20-Jul-17,105.10,105.14,104.70,104.86,357981
19-Jul-17,104.46,104.98,104.46,104.95,164327
18-Jul-17,104.38,104.38,103.95,104.31,197234
17-Jul-17,104.37,104.78,104.14,104.65,184159
14-Jul-17,103.89,104.47,103.85,104.26,266009
13-Jul-17,103.69,103.93,103.49,103.84,387053
12-Jul-17,103.50,103.86,103.50,103.62,388171
11-Jul-17,103.14,103.18,102.50,103.02,144115
10-Jul-17,102.90,103.36,102.60,103.14,211255
7-Jul-17,102.52,103.15,102.41,103.01,347003
6-Jul-17,102.91,103.06,102.13,102.26,194550
5-Jul-17,103.44,103.67,102.99,103.25,237307
3-Jul-17,103.23,103.81,103.23,103.48,126316
30-Jun-17,103.00,103.27,102.69,102.87,383457
29-Jun-17,103.54,103.63,102.09,102.70,180031
28-Jun-17,102.97,103.60,102.97,103.32,1630598
27-Jun-17,103.12,103.34,102.47,102.47,174013
26-Jun-17,103.00,103.36,102.86,103.11,174555
23-Jun-17,102.56,102.82,102.32,102.70,130912
22-Jun-17,102.56,102.73,102.24,102.40,156146
21-Jun-17,103.17,103.21,102.31,102.57,901885
20-Jun-17,104.16,104.18,103.35,103.40,601799
19-Jun-17,104.24,104.42,104.07,104.31,156447
16-Jun-17,103.72,103.78,103.36,103.78,171264
15-Jun-17,103.33,103.72,103.11,103.61,168893
14-Jun-17,104.44,104.44,103.65,103.98,148450
13-Jun-17,103.85,104.37,103.71,104.37,127917
12-Jun-17,103.44,103.81,103.29,103.63,175864
9-Jun-17,103.17,103.76,102.93,103.44,171736
8-Jun-17,102.80,103.26,102.57,103.00,168286
7-Jun-17,102.92,103.06,102.56,102.75,226857
6-Jun-17,102.72,102.99,102.47,102.74,213571
5-Jun-17,103.39,103.44,103.04,103.05,298864
2-Jun-17,103.66,103.66,103.18,103.47,317030
1-Jun-17,102.69,103.61,102.46,103.59,329620
31-May-17,102.45,102.50,101.63,102.41,165734
30-May-17,102.29,102.45,102.02,102.26,160886
26-May-17,102.42,102.52,102.26,102.47,135078
25-May-17,102.31,102.79,102.28,102.51,164205
24-May-17,101.75,102.00,101.70,101.97,153340
23-May-17,101.78,101.87,101.34,101.73,191206
22-May-17,101.27,101.65,101.23,101.57,156418
19-May-17,100.34,101.33,100.32,100.97,476944
18-May-17,99.99,100.64,99.64,100.20,326333
17-May-17,101.02,101.30,100.13,100.21,248264
16-May-17,102.38,102.43,101.80,102.00,228601
15-May-17,101.76,102.43,101.76,102.24,163625
12-May-17,101.87,101.97,101.37,101.44,411022
11-May-17,102.25,102.25,101.42,102.02,161769
10-May-17,102.12,102.70,102.03,102.65,171919
9-May-17,102.40,102.50,102.00,102.12,220228
8-May-17,102.43,102.59,102.05,102.26,197585
5-May-17,101.90,102.38,101.77,102.38,303289
4-May-17,101.79,101.95,101.21,101.64,238884
