Date,Open,High,Low,Close,Volume
16-Aug-17,98.04,98.22,97.78,97.91,1322913
15-Aug-17,98.10,98.10,97.75,97.88,733023
14-Aug-17,97.59,98.06,97.53,97.89,829196
11-Aug-17,97.15,97.33,96.91,97.04,1730870
10-Aug-17,97.95,97.95,97.12,97.15,891735
9-Aug-17,98.13,98.30,97.93,98.28,800448
8-Aug-17,98.37,98.91,98.16,98.32,1069046
7-Aug-17,98.51,98.53,98.33,98.50,716747
4-Aug-17,98.50,98.61,98.41,98.48,816008
3-Aug-17,98.26,98.35,98.15,98.24,1011310
2-Aug-17,98.14,98.29,97.93,98.28,816670
1-Aug-17,98.37,98.38,98.07,98.29,843393
31-Jul-17,0,98.26,0,98.05,874584
28-Jul-17,97.80,97.94,97.62,97.87,693634
27-Jul-17,97.95,98.03,97.55,97.96,1099013
26-Jul-17,98.21,98.21,97.69,97.80,1957949
25-Jul-17,98.06,98.20,97.84,98.00,990288
24-Jul-17,97.67,97.67,97.39,97.54,727405
21-Jul-17,97.59,97.81,97.37,97.69,895026
20-Jul-17,97.94,98.01,97.66,97.87,743993
19-Jul-17,97.47,97.79,97.41,97.79,1094899
18-Jul-17,97.35,97.38,97.02,97.37,752877
17-Jul-17,97.46,97.67,97.37,97.52,708410
14-Jul-17,97.11,97.72,96.95,97.53,1090828
13-Jul-17,97.11,97.23,96.92,97.20,707392
12-Jul-17,96.85,97.15,96.85,97.02,773466
11-Jul-17,96.66,96.70,96.03,96.46,637050
10-Jul-17,96.64,96.84,96.54,96.68,857455
7-Jul-17,96.52,96.80,96.32,96.74,869295
6-Jul-17,96.93,96.98,96.21,96.28,1075255
5-Jul-17,97.35,97.37,96.82,97.18,1104142
3-Jul-17,96.93,97.60,96.93,97.19,705662
30-Jun-17,96.78,96.88,96.39,96.56,1522445
29-Jun-17,97.22,97.27,95.89,96.33,1816967
28-Jun-17,96.63,97.02,96.63,96.86,4784593
27-Jun-17,96.58,96.82,96.11,96.11,1102758
26-Jun-17,96.68,96.94,96.50,96.63,732604
23-Jun-17,96.46,96.58,96.21,96.36,1540753
22-Jun-17,97.05,97.22,96.88,96.90,636991
21-Jun-17,97.44,97.48,96.84,96.98,810942
20-Jun-17,97.78,97.83,97.37,97.37,945150
19-Jun-17,97.74,98.07,97.72,98.00,967544
16-Jun-17,97.35,97.48,97.01,97.48,712194
15-Jun-17,97.01,97.38,96.98,97.34,1138559
14-Jun-17,97.62,97.62,97.16,97.48,1167953
13-Jun-17,97.39,97.62,97.27,97.59,2060049
12-Jun-17,97.13,97.50,96.96,97.27,1531589
