Date,Open,High,Low,Close,Volume
21-Jul-17,65.54,65.85,65.02,65.11,13861342
20-Jul-17,66.33,66.56,65.58,65.76,17159291
19-Jul-17,64.94,66.02,64.89,65.96,24802698
18-Jul-17,65.65,65.67,64.74,65.01,14956758
17-Jul-17,65.28,65.76,65.22,65.32,12214943
14-Jul-17,65.05,65.52,64.99,65.40,10272535
13-Jul-17,64.80,65.06,64.44,65.01,10056779
12-Jul-17,65.21,65.37,64.47,64.75,14818635
11-Jul-17,64.33,64.80,63.93,64.57,11899827
10-Jul-17,63.92,64.37,63.78,64.22,14153837
7-Jul-17,63.90,64.10,63.29,64.01,16036745
6-Jul-17,64.94,65.13,63.97,64.11,20788943
5-Jul-17,65.84,65.90,64.58,64.83,20988215
3-Jul-17,65.15,66.48,65.08,66.17,18402800
30-Jun-17,65.10,65.22,64.50,64.92,19643151
29-Jun-17,64.68,65.34,64.49,64.63,19022428
28-Jun-17,64.22,64.88,64.18,64.49,16859906
27-Jun-17,64.47,64.76,64.13,64.14,14227469
26-Jun-17,64.58,64.70,63.98,64.24,13603363
23-Jun-17,63.96,64.45,63.78,64.38,14555496
22-Jun-17,64.02,64.50,63.69,63.95,15431612
21-Jun-17,64.84,65.22,63.64,63.99,27305459
20-Jun-17,65.12,65.22,64.31,65.04,16063425
19-Jun-17,66.15,66.29,65.71,65.88,15678381
16-Jun-17,65.61,66.33,65.19,66.30,24621013
15-Jun-17,65.87,66.20,65.38,65.67,19258894
14-Jun-17,67.21,67.21,65.66,66.17,30280222
13-Jun-17,67.09,67.48,66.77,67.39,15807855
12-Jun-17,67.01,67.55,66.74,66.89,22924386
9-Jun-17,65.01,66.64,65.00,66.42,23184200
8-Jun-17,64.74,65.34,64.72,64.86,19569341
7-Jun-17,65.71,66.03,64.60,65.05,22942134
6-Jun-17,65.17,66.09,65.02,65.98,14835282
5-Jun-17,64.89,65.45,64.87,65.21,12552466
2-Jun-17,65.55,65.57,64.81,65.09,16542548
1-Jun-17,65.47,66.09,65.26,65.85,17983673
31-May-17,65.20,65.64,65.10,65.44,16093028
30-May-17,66.26,66.26,65.69,65.72,14529107
26-May-17,66.50,66.67,66.18,66.61,13199144
25-May-17,67.56,68.23,66.26,66.50,23329248
24-May-17,68.01,68.22,67.42,67.73,13591535
23-May-17,68.11,68.18,67.73,68.09,9086831
22-May-17,68.44,68.48,67.69,67.93,10339245
19-May-17,67.58,68.22,67.42,68.08,15624505
18-May-17,66.97,67.58,66.72,67.25,14114950
17-May-17,67.54,68.12,67.24,67.27,15606751
16-May-17,68.60,68.60,67.70,67.94,11693390
15-May-17,68.76,68.87,68.06,68.28,13206867
12-May-17,67.93,68.06,67.55,67.75,10708604
11-May-17,68.36,68.48,67.88,67.98,11968679
10-May-17,67.62,68.44,67.56,68.12,18259170
9-May-17,67.93,67.93,67.02,67.23,10719714
8-May-17,67.30,67.91,67.24,67.79,18948732
5-May-17,66.30,67.42,66.26,67.31,18743753
4-May-17,67.03,67.11,65.83,66.26,33944538
3-May-17,67.16,67.82,66.97,67.50,16934781
2-May-17,67.79,68.01,67.03,67.31,16435642
1-May-17,67.82,68.00,67.50,67.65,9419426
28-Apr-17,68.37,68.49,67.74,67.84,14425964
27-Apr-17,68.01,68.08,67.12,67.79,20547721
26-Apr-17,68.45,69.47,68.42,68.54,18737578
25-Apr-17,68.36,68.93,68.15,68.77,15590964
24-Apr-17,68.29,68.47,67.98,68.19,13350678
21-Apr-17,67.84,68.13,67.45,67.79,14116058
20-Apr-17,68.00,68.63,67.93,68.13,16235421
19-Apr-17,68.98,69.11,67.62,67.80,18125404
18-Apr-17,69.15,69.61,68.66,68.81,14750282
17-Apr-17,69.29,69.53,69.12,69.46,8012191
13-Apr-17,70.54,70.59,69.15,69.31,17655959
12-Apr-17,70.97,71.42,70.38,70.60,11453569
11-Apr-17,71.00,71.03,70.14,70.90,13891468
10-Apr-17,70.75,71.21,70.60,70.89,10820941
7-Apr-17,70.67,70.86,70.25,70.36,12580298
6-Apr-17,70.35,70.83,70.16,70.63,13124705
